"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"GO:0001525"	"angiogenesis"	0.00111607142857143	0.0208069455827396	1.91332544576965	0.42805820325363	488	"C3, Ptgs2, Grem1, Mmp19, Adam8, Ccl5, Cybb, Ccl11, Lgals3, Dcn, Itgb2, Mmp2, Anpep, Il1a, Pf4, Prkcb, Cxcl12, C5ar1, Il1b, Tbx1, Cd160, Thy1, Tnfaip2, Ccl12, C3ar1, Hhex, Ccl2, Cd36, Cd40, Lef1, Syk, Ctsh, Tmem100, Ccr2, Cma1, Card10, Pik3cg, Arhgap24, Stab1, Notch2, Il10, Ephb2, Notch1, Hc, Cysltr1, Pde3b, Sphk1, Cyp1b1, Itgax, Vav3, Prcp, Hspb6, Thbs2, Anxa3, Sulf1, Btg1, Cysltr2, Adm2, Hmox1, Cxcr2, Zc3h12a, Itga5, Cd34, Col18a1, Thbs1, Angptl6, Prkd2, Bmper, Pxn, Map3k3, Smoc2, Enpp2, Adrb2, Fzd8, Vegfd, Cemip2, Calcrl, Nrp2, Pitx2, Ramp1, Epas1, Sash1, Fn1, Plau, Pik3r6, Ptk2b, Egr3, Cd59a, Grn, Epha2, Jmjd8, Rnh1, Fbxw7, Ccn3, Myh9, Col4a1, Serpinf1, Angptl3, Fasl, Lif, Jun, Cxcl10, Col4a4, Fap, Clec14a, S100a1, Hhip, Hs6st1, C6, Plxdc1, Ccr3, Cib1, Sox18, H2-M3, Runx1, Gbx2, Eng, Serpine1, Tnfrsf1a, Klf2, Angpt1, Hgf, Ednra, Tgfbr2, Aplnr, Stim1, Gata2, Tnfrsf12a, Rxra, Stat1, Klf4, Sox17"
"GO:0098542"	"defense response to other organism"	0.00111607142857143	0.0208069455827396	2.41234100347255	0.539500647196191	492	"Nos2, Clec4d, Clec4e, Clec4n, Lyz1, Lyz2, Mmp12, Ccl5, Slc11a1, Fgr, Slamf8, Cd8a, Ifng, Tnf, Irf5, Pf4, Fgl2, Myo1f, Mpeg1, Nlrp3, Plac8, Cd86, C5ar1, Hck, Ncf1, Il1b, Unc93b1, Cd160, Gbp11, Gbp8, Arg1, Fcgr1, Ptprc, Cxcl9, Htra1, Tlr2, Cyba, Fcer1g, Tlr9, Spon2, Cd37, Irf4, Lbp, Cd36, Hp, Cd40, Il12rb1, Syk, Il4ra, Bcl3, Irf7, Spn, Il23a, Cxcl13, Irf8, Il27ra, Il27, Ncr1, H2-T23, Tnfsf4, Stab1, Il6, Notch2, Gsdmd, Apobec1, A230050P20Rik, Il10, Tlr5, Acp5, Tlr8, Il33, Treml4, Ifit1bl1, Prf1, Tlr7, Cebpb, Klrk1, Nod2, Pik3cd, Prkcd, Tgfb1, Itgax, Chga, Ptpn22, Irf2, Card9, Nlrp1a, Oas3, Ctsg, Ifit1, Anxa3, Tnfrsf14, Samhd1, Nod1, Ticam2, Gbp2, Ccdc88b, Batf2, Unc13d, Ifngr1, Zc3h12a, Tnfsf8, Ifitm1, Mx1, Naip5, Rnasel, F2rl1, Ifnlr1, Serpinb9, Oasl2, Gbp3, Trem3, Lcn2, Gbp4, Stat2, Irf1, Havcr2, Tagap, Irgm2, Cxcl1, Cd4, Defa-rs4, Pycard, Rag2, Naip2, Ssc5d, Batf, Grn, Epha2, Gbp9, Zbp1, Il17ra, Dhx58, Rarres2, Trem1, Rnase6, Il17a, Cxcl10, Cotl1, Mbl1, Cd209d, Ifngr2, Traf3, Rtp4, Myd88, Bst2, Slfn8, Tspan32, Tlr12, H2-M3, Isg15, Iigp1, Serpine1, Ifnar2, Tnfrsf1a, Pglyrp2, Adam17, Plscr1, Mapkbp1, H2-K1, Nlrc4, Pglyrp3, Defb50, Pglyrp1, Defb4, Oasl1, Stat1, Mx2, Oprk1, Nlrx1, Lpo, Mill2, Ifnl3, Bpifa2, Rpl39, Lta, Defb10, Wfdc12, Apobec3"
"GO:0051345"	"positive regulation of hydrolase activity"	0.00111856823266219	0.0208069455827396	1.75890144272621	0.393625034253968	485	"Ccl8, Nr1h3, S100a8, Ptafr, Ccl5, Ccl11, Ifng, Tnf, Lpar1, Ccl9, Tbc1d9, Ccl6, Nlrp3, Xdh, Sema4d, Dapk1, Ccl7, Adap2, Plek, Rgs1, Thy1, Vav1, Ptprc, Tnfsf15, Icam1, Ccl3, Ccl12, Gpr65, Ccl2, Fas, Cd40, Vsir, Ctsh, Casp1, Itk, Atp1b1, Cxcl13, Prex1, Arhgap24, Rgs16, Rasgrp1, Arap1, Lyn, Lgmn, Dock8, Txk, Cd300a, Ccl1, Prkcd, Mefv, S100a9, Ccl4, Nlrp1a, Xcl1, Casp4, Nod1, Gnat1, Psap, Nedd9, Ccl19, Ripk3, Bcl2l11, F2rl1, Rasgrp2, Prkd2, Myl4, Pmaip1, Bak1, Adrb2, Atp1b2, Rgs10, Slc11a2, Cd200, Gper1, Dennd1a, Pycard, Ptk2b, Adprhl1, Grn, Sgsm2, Epha2, Gsn, Myo9b, Arhgef19, Arhgap27, Abr, St18, Cideb, Fyn, S100a10, Fasl"
"GO:0001501"	"skeletal system development"	0.00111982082866741	0.0208069455827396	1.50789511137803	0.337031661108822	499	"Sfrp4, Efemp1, Grem1, Fgr, Lgals3, Tyrobp, Actn3, Mmp2, Sfrp1, Sema4d, Igf1, Tbx1, Thbs3, Osr1, Ptprc, Col1a2, Ryr1, Trpv4, Runx3, Alpl, Col1a1, Tifab, Fbn1, Fli1, Mmp13, Prrx2, Col5a2, Notch2, Cacna1s, Hoxd8, Col27a1, Tmem119, Ptger4, Acp5, Snai1, Papss2, Zfp385a, Tgfb1, Prrx1, Clec3b, Acp2, Twist2, Hoxc10, Maf, Chst11, Sulf1, Lrrc17, Hoxc8, Sox9, Dhrs3, Runx2, Thbs1, Trim45, Ptpn6, Pth1r, Pdgfc, Idua, Col6a1, Bmp1, Hoxc4, Nog, Col12a1, Pcsk5, Akap13, Fam20c, Pitx2, Dspp, Has2, Gas1, Mmp14, Gdf3, Epha2, Hoxb3, Bmp8b, Gdf11, Vcan, Tmem38b, Col6a3, Fbxw7, Lox, Por, Mycn, Ccn3, Dmrt2, Mustn1, Hexa, Hhip, Rarg, Rabgap1l, Cdx1, Ccn4, Smad9, Col6a2, Hoxd9, Ppargc1b, Runx1, Wnt1, Schip1, Fst, Ctsk, Col14a1, Tgfbr2, Otor, Sgpl1, Thra, Pax7, Bmp8a, Spns2, Bmp7, Vdr, Npr2, Pbx1, Ncan, Slc39a1, Zbtb7a, Inppl1, Ddrgk1, Arid5b, Dlx1"
"GO:0002694"	"regulation of leukocyte activation"	0.00111982082866741	0.0208069455827396	2.80301686252266	0.627050504211711	495	"Clec4d, Slc7a2, Nr1h3, Il7r, Bst1, Tarm1, Adam8, Pdcd1lg2, Cd80, Ptafr, Ccl5, Fgr, Il2rg, Slamf7, Lgals3, Lag3, Tyrobp, Tnfrsf1b, Slamf8, Itgb2, Ifng, Cd84, Ikzf3, Ikzf1, Trem2, Sfrp1, Aif1, Fgl2, Pla2g2d, Slfn1, Nlrp3, Cd86, Ripor2, Cd300lf, C5ar1, Cd226, Nfam1, Igf1, Samsn1, Il1b, Tnfaip8l2, Pld2, Nckap1l, Itgal, Il1rl1, Cd160, Thy1, Arg1, Cst7, Ptprc, Nfatc2, Vcam1, Mfhas1, Itgam, Lat, Tbx21, Fcer1g, Ctsc, Gas6, Runx3, Tlr9, Cd37, Socs1, Cd3e, Ccl2, Lbp, Fas, Cd300lb, Cd40, Nfkbid, C1qa, Il12rb1, Vsir, Syk, Rac2, Il4ra, Cd22, Ccr2, Cd38, Milr1, Tnfrsf13b, H2-Ab1, Spn, Il23a, Zc3h12d, Axl, Coro1a, Cebpa, Il27ra, Il27, Sash3, H2-T23, Cd274, Crlf2, Tnfsf4, Il6, Rasgrp1, Bcl6, Il10, Lyn, Il33, Dock8, Cd300a, Cebpb, Klrk1, Nod2, Sphk1, H2-DMa, Tgfb1, Ptpre, Il6ra, Tnfrsf13c, Cnr2, Cd28, Vav3, Ptpn22, Dpp4, Il1rl2, Xcl1, Inpp5d, Fes, Icos, Tnfrsf21, Pag1, Ido1, Tnfrsf14, Sirpa, Tacr1, Btn2a2, Lax1, Il15ra, Ccdc88b, Cd6, Hmox1, Unc13d, H2-Aa, Fcgr2b, Prdm1, Clcf1, Zc3h12a, Il7, Ccl19, Thbs1, Tox, Ripk3, Ptpn6, F2rl1, Vsig4, Tlr6, H2-Oa, Skint1, Pnp, App, Tespa1, Btk, Irf1, Havcr2, Tnfsf14, Zap70, Cd200, Cd4, Gper1, Adora2b, Pycard, Crhr1, Cd83, Pik3r6, Egr3, Nppa, Mmp14, Grn, Btnl2"
"GO:0043410"	"positive regulation of MAPK cascade"	0.00111982082866741	0.0208069455827396	2.0083317536819	0.448943414265096	498	"C3, Marco, Ccl8, Il1rn, Adam8, Ccl5, Ccl11, Csf1r, Cd84, Il1a, Tnf, Trem2, Lpar1, Ccl9, Ccl6, Xdh, C5ar1, Ccl7, Ncf1, Igf1, Il1b, Tbx1, Ptprc, Icam1, Ccl3, Tlr2, Ccl12, Mfhas1, Trpv4, Gas6, Tlr9, P2ry6, Ccl2, Ccr1, Cd36, Cd40, Pak1, Syk, Egfr, Ar, Pik3cg, Il6, Lrp1, Ntrk2, Rasgrp1, Notch2, Gadd45b, Pde8a, Pik3r5, Notch1, Ccl1, Nod2, Sphk1, Prkcd, Tgfb1, Il6ra, Ptpn22, Ccl4, Card9, Xcl1, Scimp, Tnfaip8l3, Rell2, Tmem106a, Nod1, Psap, Cysltr2, Fcgr2b, Adra1b, Pdgfb, Zc3h12a, Ccl19, Thbs1, Dab2, Edar, F2rl1, Prkd2, Bmper, Pdgfc, Osm, Tlr6, Pxn, Map3k3, Adrb2, Kitl, App, Npy5r, Fzd8, Akap13, Havcr2, Grm5, Ptpn1, C5ar2, Cd4, Rit2, Gper1, Pycard, Mid1, Sash1, Pik3r6, Ptk2b, Il11, Ankrd6, Tnfrsf11a"
"GO:0072503"	"cellular divalent inorganic cation homeostasis"	0.00112233445566779	0.0208069455827396	2.07891717219603	0.466021538816525	483	"Cxcl2, Atp2a1, Ccl5, Slc11a1, Trdn, Fpr1, Ccr5, Cmklr1, Cd52, Lpar1, Casq1, Prkcb, C5ar1, Ptger2, Il1b, Thy1, Ptprc, Ccl3, Cyba, Ryr1, Trpv4, C3ar1, P2ry6, Gpr65, Cxcr6, Ccl2, Ccr1, Cd36, Tgm2, Cd40, Slc39a4, P2ry10b, Pygm, Ccr2, Cd38, Atp1b1, Cxcl13, Cxcl3, Slc8b1, Coro1a, Hrc, Pik3cg, Lrp1, Trpc3, Grina, Lyn, Bdkrb2, Ptger4, Trpm2, Gna15, Ccl1, Cib2, Atp2a3, Csrp3, Jsrp1, Slc8a1, Cln3, Mtnr1b, Tgfb1, Chga, P2ry10, Ccrl2, Xcl1, Tmem38a, Mcoln1, Tacr1, Slc30a1, Atp1a2, Gpr35, Adra1b, Cxcr2, Lpar6, Ccl19, Mcub, Jph2, Ptpn6, Pth1r, F2rl1, Nos1, Sypl2, Bak1, Dmpk, Adrb2, App, P2ry2, Plcg2, Ptgfr, Fkbp1b, Gpr17, Npy1r, C5ar2, Cxcl1, Ptgir, Tnni3, Cd4, Gpr18, Gper1, Gng3, Crhr1, Ptk2b, P2rx4, Ngf, Tcirg1, Gpr157, Dmd, Dhrs7c, Gpr174, Cnr1, Tmem38b, Tmem203, Cacna2d1, Fyn, Htr2c, Tpcn2, Fasl, Slc25a23, Cxcl10, Dlg4, Atp13a5, P2rx1, Tmem165, Ddit3, Ccr3, Clec4b1, Calcb, 1600014C10Rik, Gipr, Bbc3, Casq2, Itpr2, Plcb2, Ms4a1, Kng2, Hcrt, P2ry4, Cacna1a, Cacna1i, Ednra, Nptn, Camk2d, Aplnr, Ubash3b, Stim1, Gata2"
"GO:0009611"	"response to wounding"	0.00112866817155756	0.0208069455827396	1.96417893586921	0.442152506446857	445	"C3, Mmp12, Slc11a1, Tyrobp, Mmp2, Il1a, Pf4, Col3a1, Fermt3, Procr, Igf1, Plek, Entpd1, F7, Mmrn1, Fcer1g, Mstn, Gas6, Ccl2, Col1a1, Cd36, Serpine2, Pak1, Thbd, F10, Syk, Egfr, Ccr2, P2rx5, Axl, Serping1, Arhgap24, Il6, Lrp1, Notch2, Tfpi2, Lcp1, Il10, Lyn, Ptger4, Myh2, Selp, Papss2, Myoz1, Prkcd, Tgfb1, Wfdc1, S100a9, Jaml, Prcp, Igsf10, Scarf1, Clec10a, Folr1, Tnc, Gp9, Trim72, Myof, Hmox1, Plec, Pdgfb, F13a1, Cd34, Thbs1, Timp1, Ptpn6, F2rl1, Ptk7, Ptgfrn, Entpd2, Nog, Tec, Smoc2, Adrb2, Treml1, Lamb2, Prr33, Hopx, Pdpn, Ddr1, Fkbp1b, Myf6, Pros1, Ninj1, Fn1, Plau, Coro1b, Grn, P2rx4, Arhgef19, Adamts13, Enpp4, Zfp36l2, Hps1, Lox, Cnn2, Ccn3, Ppara, Myh9, Pip5k1c, Mymk, Jun, Slc7a11, Omg, Mustn1, Ccn4, P2rx1, Stxbp3, Proc, Tspan32, Evl, Mrln, Nefh, Eng, Kng2, Serpine1, Mapk8ip3, Large1, Sdc4, Alox12, Adam17, Map2k2, Gli1, Akirin1, Ubash3b, Abat, Pax7, Tspan8, Tnfrsf12a, Mag, Selenon, Klf4"
"GO:0071417"	"cellular response to organonitrogen compound"	0.00112866817155756	0.0208069455827396	1.80081541759669	0.405378062048181	445	"Igfbp5, Pid1, Sh2b2, Mmp2, Tnf, Lpl, Trem2, Sfrp1, Col3a1, Cacnb1, Prkcb, Nlrp3, Atp1a3, Igf1, Il1b, Icam1, Col1a2, Tlr2, Vcam1, Ryr1, Mstn, Tlr9, P2ry6, Actn2, Socs1, Col1a1, Cd36, Pak1, Egfr, Mmp3, Neurl1a, Pik3cg, Col5a2, Lrp1, Ntrk2, Trpm2, Lgmn, Cib2, Cebpb, Nod2, Pde3b, Csrp3, Slc8a1, Prkcd, Ptpre, Sla2, Ptpn22, Camk2a, Tmem38a, Folr1, Casp4, Ppp1r9b, Nod1, Trim72, Castor2, Sox9, Fcgr2b, Adipoq, Pdgfc, Col6a1, Tlr6, Pxn, Nos1, Adrb2, App, Irf1, Grm5, Ptpn1, Amigo1, Agtrap, Aanat, Gper1, Crhr1, C1qtnf12, P2rx4, Sgk1, Rap1b, Rarres2, Tmem38b, Sesn2, Cacna2d1, Fyn, Pdk2, Grk2, Col4a1, Lamtor4, Zbtb7b"
"GO:0042110"	"T cell activation"	0.00113122171945701	0.0208069455827396	2.73265664784115	0.613869421151534	466	"Clec4d, Clec4e, Il7r, Tarm1, Adam8, Pdcd1lg2, Cd80, Slamf6, Ccl5, Slc11a1, Il2rg, Cd3d, Lgals3, Lag3, Tnfrsf1b, Cd8a, Itgb2, Ifng, Ikzf1, Eomes, Aif1, Was, Fgl2, Pla2g2d, Slfn1, Nlrp3, Cd86, Cxcl12, Ripor2, Igf1, Il1b, Tnfaip8l2, Nckap1l, Itgal, Lfng, Cd160, Thy1, Mafb, Arg1, Vav1, Ptprc, Icam1, Vcam1, Itgam, Lat, Ly9, Tbx21, Fcer1g, Il18r1, Runx3, Cd3g, Socs1, Cd3e, Irf4, Ccl2, Fas, Nfkbid, Dock2, Il12rb1, Lef1, Vsir, Syk, Rac2, Il4ra, Cd2, Ccr2, Itk, Bcl3, H2-Ab1, Spn, Il23a, Zc3h12d, Prex1, Coro1a, Ebi3, Cd48, Themis, Il27, Sash3, H2-T23, Cd274, Zbtb32, Tnfsf4, Il6, Rasgrp1, Bcl2a1d, Bcl6, Lcp1, Clec4a2, Ptger4, Dock8, Txk, Cd300a, Cebpb, H2-DMa, Tgfb1, Treml2, Il6ra, Tnfrsf13c, Cd28, Sla2, Apbb1ip, Ptpn22, Dpp4, Jaml, Il1rl2, Xcl1, Icos, Tnfrsf21, Pag1, Ido1, Tnfrsf14, Sirpa, Btn2a2, Lax1, Ccdc88b, Cd6, H2-Aa, Prdm1, Zc3h12a, Tnfsf8, Il7, Ccl19, Runx2, Rhoh, Relb, Ripk3, Ptpn6, F2rl1, Vsig4, H2-Oa, Skint1, Elf4, Pnp, Btnl6, Tespa1, Fzd8, Irf1, Havcr2, Tnfsf14, Fkbp1b, Zap70, Cd4, Gpr18, Gimap1, Satb1, Pycard, Cd83, Pik3r6, Rag2, Egr3, Batf, Btnl2, Psmb10, Gsn, Gm13271, Tcirg1"
"GO:0048871"	"multicellular organismal homeostasis"	0.00113122171945701	0.0208069455827396	1.64957532553716	0.370563880037158	466	"Ptgs2, Nr1h3, Il1rn, Adam8, Ccl5, Slc11a1, Cd7, Actn3, Csf1r, Il1a, Tnf, Ccr5, Cmklr1, Ctss, Plac8, Il1b, Sln, Trpv4, Slc28a2, Spp1, Il18r1, Tlr9, Irf4, Cd36, Syk, Fcgr4, Ctsh, Egfr, Rac2, Il4ra, Mfap2, Ccr2, Cd38, Coro1a, Sash3, Mup1, Il6, Csf1, Tmem119, Napsa, Ptger4, Acp5, Pla2g4a, Metrnl, Notch1, Trpm2, Cib2, Cebpb, Nod2, Plcl2, Pbld1, Prcp, Inpp5d, Hoxc10, Acsl1, Aldh1a1, Tnfrsf11b, Sox9, Cd34, Sfn, Il7, Prdx5, Trpv2, Pth1r, Adipoq, Pdgfc, Idua, Ampd3, Adrb2, Pth2r, Lcn2, Bscl2, Slc11a2, Il20ra, Epas1, Mc3r, Ptk2b, Ush1c, Tnfrsf11a, Tulp1, Tcirg1, Bmp8b, Ush1g, Lipa, Cnr1, Gatm, Inava, Zbtb7b, Plekhm1, Plcl1, Pdk4, Prkaa2, Lnpep, Flt3l, Ucp2, Ddit3, Cln8, Cela2a, Ppargc1b, Hcrt, Acot11, Tfe3, Ctsk, Col14a1, Slc27a1, Tex15, Alox12, Adam17, Chmp4b, Ubash3b, Thra, Abat, Kmt2a, Gata2, Snx10, Bmp8a, Pm20d1, Ucp1"
"GO:0007264"	"small GTPase mediated signal transduction"	0.00113378684807256	0.0208069455827396	1.60184428650367	0.359817226302475	473	"Sh2b2, Col3a1, Aif1, Was, Dok2, Lpar1, Shtn1, Ripor2, Igf1, Rab7b, Vav1, Col1a2, Lat, Gpr65, Dock2, Rac2, P2ry10b, Fgd3, Cyth4, Rasgrp4, Prex1, Abca1, Arhgap24, Rasgrp1, Notch2, Bcl6, Mcf2l, Arhgef6, Csf1, Rgl1, Ephb2, Notch1, Dock8, Plaat1, Vav3, Dok3, Ralgps2, P2ry10, Abra, Arhgap25, Rhof, Dock4, Iqsec2, Hmox1, Mras, Gpr35, Adra1b, Lpar6, Rhoh, Obscn, Sh2d3c, F2rl1, Rasgrp2, Rab15, Kitl, Akap13, Ulk1, Arhgef3, Rab19, Rab5b, Pdpn, Psd4, Gpr17, Fbp1, Arhgef40, Gpr18, Rit2, Dennd1a, Rab3b, Dgkz, Rab37, Rnd1, Gm14137, Rab20, Myo9b, Arhgef19, Ngf, Rap1gap2, Ntn1, Rap1b, Gpr174, Abr, Rab26, Madd, Fgd1, Jun, Rhou, Arhgef15, Nrg1, Elmo1, Ralgds, Rhobtb1, Iqsec1, Sh3bp1, Rab43, Flot1, Arrb1"
"GO:0071396"	"cellular response to lipid"	0.00113378684807256	0.0208069455827396	2.32661516769593	0.523286706288834	457	"Nos2, Acod1, Nr1h3, Cxcl2, Il1rn, Pid1, Pdcd1lg2, Cd80, Ccl5, Cd180, Cd14, Tnfrsf1b, Inhba, Ifng, Cd84, Mmp2, Tnf, Lpl, Pf4, Cxcl16, Trem2, Sfrp1, Lpar1, Nlrp3, Cd86, Ptger2, Igf1, Il1b, Tbx1, Osr1, Cxcl9, Glrx, Ccl12, Cd68, Spp1, Akr1c18, Mstn, P2ry6, Spon2, Ccl2, Lbp, Cd36, Ppbp, Cd300lb, Pak1, Fcgr4, Egfr, Casp1, Cxcl13, Cxcl3, Irf8, Axl, Ar, Abca1, Mup1, Cd274, Tnfsf4, Tnip3, Il6, Ntrk2, Il10, Lyn, Ptger4, Cebpb, Klrk1, Nod2, Irak2, Tgfb1, Ly86, Padi2, Ptpn22, Fes, Ctsg, Sirpa, Aldh1a2, Ticam2, Gbp2, Mrc1, Atp1a2, Cd6, Sox9, Prdm1, Zc3h12a, Dab2, Nfkbia, Ptk7, Trib1, Pim1, Akap13, Havcr2, Ffar2, Ptgfr, Irgm2, Cxcl1, Ncoa3, Gper1, Pycard, Sash1, Zfp709, Ptk2b"
"GO:0002683"	"negative regulation of immune system process"	0.00113507377979569	0.0208069455827396	2.60890133482161	0.587004752479594	454	"Acod1, Nr1h3, Grem1, Il7r, Tarm1, Pdcd1lg2, Cd80, Mmp12, Lgals3, Lag3, Tyrobp, Slamf8, Ifng, Cd84, Tnf, Pf4, Sfrp1, Col3a1, Fgl2, Pla2g2d, Slfn1, Cd86, Cxcl12, Ripor2, Cd300lf, Pilrb1, Igf1, Samsn1, Tnfaip8l2, Il1rl1, Cd160, Cd200r1, Rab7b, Thy1, Mafb, Arg1, Cst7, Ptprc, Htra1, Pdcd1, Ccl12, C1qc, Mfhas1, Cd68, Tbx21, Fcer1g, Runx3, Tlr9, Cd37, Socs1, Irf4, Irak3, Ccr1, Fas, Nfkbid, Vsir, Pik3ap1, Il4ra, Fbn1, Cd22, Ccr2, Milr1, Tnfrsf13b, H2-Ab1, Spn, Zc3h12d, Axl, Il27ra, Serping1, H2-T23, Cd274, Tnfsf4, Bcl6, Nbl1, Il10, Lyn, Ptger4, Il33, Notch1, Cd300a, Hc, Cebpb, Nod2, Plcl2, Tgfb1, Padi2, Cnr2, Trafd1, Ptpn22, Clec2d, Xcl1, Twist2, Inpp5d, Lmo2, Tnfrsf21, Pag1, Ido1, Tnfrsf14, Samhd1, Ticam2, Btn2a2, Lax1, Lrrc17, Hmox1, Sox9, H2-Aa, Fcgr2b, Prdm1, Tap2, Cxcr2, Zc3h12a, Thbs1, Ptpn6, Adipoq, Nfkbia, F2rl1, Vsig4, Tapbpl, Tlr6, Serpinb9, H2-Oa, Gpr171, Trib1, Kitl, Npy5r, Btk, Klre1, Irf1, Havcr2, Gpr17, Cd200, C5ar2, Gpr18, Gper1, Ptk2b, Klf13, Cd59a, Grn, Btnl2, Parp3, Dhx58, Vpreb3, Lpxn, Tap1, Cnr1, Pkn1, Abr, Fbxw7, Gas2l1, Ccn3, Id2, Zbtb7b, Parp14"
