"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"GO:0051306"	"mitotic sister chromatid separation"	0.00182149362477231	0.0418249751698696	-2.07720434314103	-0.539704034606685	58	"Bub1b, Psmg2, Ppp2r1a, Ncaph2, Tacc3, Anapc4, Terf1, Zfp207, Nek6, Dync1li1, Anapc5, Aurkb, Usp44, Cdc27, Spdl1, Cdt1, Anapc1, Bub3, Bub1, Apc, Pcid2, Cdc6, Cul3, Ndc80, Trip13, Birc5, Zw10, Ccnb1, Nsmce2, Cdc26, Mad2l1, Gen1, Riok2, Xrcc3"
"GO:0010389"	"regulation of G2/M transition of mitotic cell cycle"	0.00185873605947955	0.0418249751698696	-2.03321146690764	-0.500754204390644	77	"Cdkn2a, Pinx1, Cdc25a, Topbp1, Rcc2, Cdk1, Mbd4, Hus1, Gpr132, Mta3, Usp47, Cdc6, Blm, Lmnb1, Clspn, Orc1, Chek1, Mre11a, Hacd1, Ccnb1, Hus1b, Ccng1, Cdc7, Rad17, Mrnip, Brsk1, Ier3, Wnt10b, Fhl1, Dtl, Kif14, Ticrr, Cdc25c, Cenpf, Rad51b"
"GO:0090231"	"regulation of spindle checkpoint"	0.00186219739292365	0.0418249751698696	-2.0218596079593	-0.748267991178165	13	"Usp44, Cdt1, Pcid2, Ndc80, Ccnb1, Mad2l1, Gen1, Xrcc3"
"GO:0090266"	"regulation of mitotic cell cycle spindle assembly checkpoint"	0.00186219739292365	0.0418249751698696	-2.0218596079593	-0.748267991178165	13	"Usp44, Cdt1, Pcid2, Ndc80, Ccnb1, Mad2l1, Gen1, Xrcc3"
"GO:1903504"	"regulation of mitotic spindle checkpoint"	0.00186219739292365	0.0418249751698696	-2.0218596079593	-0.748267991178165	13	"Usp44, Cdt1, Pcid2, Ndc80, Ccnb1, Mad2l1, Gen1, Xrcc3"
"GO:0009312"	"oligosaccharide biosynthetic process"	0.00186567164179104	0.0418249751698696	-1.9700815276443	-0.718681598580677	14	"St6galnac1, B3galnt1, Mgat2, St3gal2, B3galt5"
"GO:0044784"	"metaphase/anaphase transition of cell cycle"	0.00186915887850467	0.0418249751698696	-1.9943586019829	-0.522989589970158	57	"Bub1b, Psmg2, Tacc3, Anapc4, Terf1, Zfp207, Nek6, Dync1li1, Anapc5, Aurkb, Usp44, Cdc27, Spdl1, Cdt1, Anapc1, Bub3, Bub1, Apc, Pcid2, Cdc6, Cul3, Ndc80, Trip13, Birc5, Zw10, Ccnb1, Nsmce2, Cdc26, Mad2l1, Gen1, Riok2, Xrcc3"
"GO:0006400"	"tRNA modification"	0.0018796992481203	0.0418249751698696	-1.96139077452174	-0.49783951575846	69	"Thumpd2, Trmo, Mettl2, Dus2, Pus3, Elp5, Ctu2, Trmt1, Kti12, Trmt13, Elp3, Sephs1, Mto1, Trmt112, Elp2, Adat2, Qtrt2, Trmt5, Trmt10a, Ctu1, Tprkb, Trmt44, Sephs2, Alkbh8, Thg1l, Elp4, Pus7, Tarbp1, Bcdin3d, Trmt12, Osgepl1, Lcmt2, Trmt6, Nsun2, Ankrd16, Trit1, Nsun3"
"GO:0007091"	"metaphase/anaphase transition of mitotic cell cycle"	0.00188679245283019	0.0418249751698696	-2.15054400511965	-0.566350942338771	54	"Bub1b, Psmg2, Tacc3, Anapc4, Terf1, Zfp207, Nek6, Dync1li1, Anapc5, Aurkb, Usp44, Cdc27, Spdl1, Cdt1, Anapc1, Bub3, Bub1, Apc, Pcid2, Cdc6, Cul3, Ndc80, Trip13, Birc5, Zw10, Ccnb1, Nsmce2, Cdc26, Mad2l1, Gen1, Riok2, Xrcc3"
"GO:0006261"	"DNA-dependent DNA replication"	0.00189035916824197	0.0418249751698696	-2.12773188371692	-0.480366257971457	126	"Nucks1, Stag2, Ssbp1, Rtf2, Npm1, Msh6, Mcm5, Atrx, Mcm6, Tonsl, Rfwd3, Rfc2, Pold4, Tipin, Cdk2, Gins4, Mcm10, Senp2, Ccne1, Ilkap, E2f8, Bod1l, Fgfr1, Rrm2b, Orc3, Rfc3, Fbxw7, Dna2, Lig1, Mcm8, Wrn, Mcm2, Prim1, Dach1, Pcna, Wrnip1, Brca2, Cdt1, Fen1, Rad51, Mcm9, Pold2, Orc6, Mcm4, Smc1a, Wdr18, Rfc4, Cdc6, Dscc1, Blm, Timeless, Nuggc, Orc1, Mre11a, Msh3, Mcm3, Etaa1, Cdc7, Zfp365, Orc4, Atad5, Dbf4, Zmpste24, Stoml2, Gen1, Prim2, Ticrr, Pold1, Gins1, Wdhd1, Cdc45, Chek2, Primpol, Fancm, Mms22l, Thoc1, Polq"
"GO:0006289"	"nucleotide-excision repair"	0.00189035916824197	0.0418249751698696	-1.77062627861524	-0.467686414821523	53	"Dclre1b, Hmgb1, Gtf2h2, Hus1, Ogg1, Usp7, Rad51d, Gtf2h4, Cul4a, Hus1b, Ercc5, Sirt1, Cetn1, Fancc, Dclre1a, Pold1, Ercc6, Neil3, Uvssa"
"GO:0030104"	"water homeostasis"	0.00189035916824197	0.0418249751698696	-2.20231682563343	-0.581711495486866	53	"Aqp1, Abca12, Cldn4, Krt16, Grhl3, Cldn1, Fa2h, Trp63, Flg2, Hrnr, Krt1"
"GO:0045839"	"negative regulation of mitotic nuclear division"	0.00189035916824197	0.0418249751698696	-1.82493521655037	-0.482031368797644	53	"Bub1b, Psmg2, Terf1, Tnks, Zfp207, Dync1li1, Aurkb, Usp44, Spdl1, Cdt1, Bub3, Bub1, Apc, Pcid2, Mtbp, Chek1, Ndc80, Trip13, Birc5, Zw10, Ccnb1, Mad2l1, Gen1, Nme6, Rgcc, Xrcc3"
"GO:1902099"	"regulation of metaphase/anaphase transition of cell cycle"	0.00189035916824197	0.0418249751698696	-1.94427690207701	-0.513553822585218	53	"Bub1b, Psmg2, Anapc4, Terf1, Zfp207, Nek6, Dync1li1, Anapc5, Aurkb, Usp44, Spdl1, Cdt1, Bub3, Bub1, Apc, Pcid2, Cdc6, Cul3, Ndc80, Trip13, Birc5, Zw10, Ccnb1, Nsmce2, Cdc26, Mad2l1, Gen1, Riok2, Xrcc3"
"GO:1902850"	"microtubule cytoskeleton organization involved in mitosis"	0.00189035916824197	0.0418249751698696	-1.66576204079338	-0.375788209918745	127	"Ndel1, Ralbp1, Rhoa, Setd2, Sapcd2, Bccip, Tacc3, Spast, Rcc1, Zfp207, Clasp1, Pcnt, Abraxas2, Aurkb, Spdl1, Kpnb1, Racgap1, Spice1, Sbds, Map10, Spc25, Gpsm2, Rae1, Plk2, Cep97, Smc1a, Kif11, Arhgef10, Mcph1, Cenpa, Stmn1, Poc1a, Aurka, Ndc80, Birc5, Zw10, Ccnb1, Tpx2, Mad2l1, Tacc2, Kif23, Tbce, Cdc20, Stil, Nek2, Ccsap, Nuf2, Chek2, Kif4, Fsd1, Pax6"
"GO:1990823"	"response to leukemia inhibitory factor"	0.00189035916824197	0.0418249751698696	-1.53402892783672	-0.346329225653006	126	"Ncl, Hk2, Gfpt2, Arid5b, Chchd4, Mpc1, Rnmt, Mat2a, Ubxn2a, Mga, Srsf3, Kdm5b, Rnf138, Tnfsf11, Pdcd10, Eps8, Foxd3, Tle4, Lrrc2, Fzd4, Slc25a5, Tfrc, Xbp1, Rif1, Egln3, Kat6b, Bspry, Nme7, Sirt1, Spry4, Gnpnat1, Mynn, Pfkp, Pcolce2, Adam23, Kdm3a, Shmt1, Wdr35, Prdm5, Cth, Rnf125, Piga, Pax6, Calm4"
