"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"GO:0030545"	"receptor regulator activity"	0.00111234705228031	0.0408297829174275	1.88303048653609	0.420578190809159	500	"Efemp1, Ccl8, Grem1, Cxcl2, Il1rn, Ccl5, Ccl11, Saa3, Lgals3, Gmfg, Inhba, Ifng, Il1a, Tnf, Flrt2, Pf4, Cxcl16, Ccl9, Ccl6, Cxcl12, Sema4d, Ccl7, Igf1, Il1b, Retnlg, Cxcl14, Cxcl9, Tnfsf15, Ccl3, Ccl12, Spp1, Ogn, Mstn, Gas6, Ccl2, Ppbp, Ltb, Fbn1, Penk, Il23a, Cxcl13, Cxcl3, Ebi3, Il27, Crlf2, Tnfsf4, Grem2, Il6, Nbl1, Il10, Csf1, Il33, Metrnl, Ccl1, Adh7, Tgfb1, Il6ra, Ccl4, Npy, Xcl1, Ly6e, Adm2, Lynx1, Clcf1, Pdgfb, Clec11a, Ccn5, Tnfsf8, Il7, Il16, Ccl19, Timp1, Inhbe, Adipoq, Pdgfc, Osm, Bmp1, Klk1b3, Kitl, Sema3d, App, Gast, Vegfd, Tnfsf14, Sema6c, Gpha2, Cxcl1, Nrg4, Nppa, Il11, C1qtnf12, Osgin1, Gdf3, Prl7a2, Grn, Insl6, Ngf, Gm13271, Prl3a1, Bmp8b, Gdf11, Reg1, Ccn3, Insl5, Il17a, Angptl3, Fasl, Dkk3, Lif, Cxcl10, Nrg1, Il1f9, Artn"
"GO:0048018"	"receptor ligand activity"	0.00113250283125708	0.0408297829174275	1.91002438674328	0.428326310769501	465	"Efemp1, Ccl8, Grem1, Cxcl2, Il1rn, Ccl5, Ccl11, Saa3, Lgals3, Gmfg, Inhba, Ifng, Il1a, Tnf, Flrt2, Pf4, Cxcl16, Ccl9, Ccl6, Cxcl12, Sema4d, Ccl7, Igf1, Il1b, Retnlg, Cxcl14, Cxcl9, Tnfsf15, Ccl3, Ccl12, Spp1, Ogn, Mstn, Gas6, Ccl2, Ppbp, Ltb, Fbn1, Penk, Il23a, Cxcl13, Cxcl3, Ebi3, Il27, Crlf2, Tnfsf4, Grem2, Il6, Nbl1, Il10, Csf1, Il33, Metrnl, Ccl1, Tgfb1, Il6ra, Ccl4, Npy, Xcl1, Adm2, Clcf1, Pdgfb, Clec11a, Ccn5, Tnfsf8, Il7, Il16, Ccl19, Timp1, Inhbe, Adipoq, Pdgfc, Osm, Bmp1, Klk1b3, Kitl, Sema3d, Gast, Vegfd, Tnfsf14, Sema6c, Gpha2, Cxcl1, Nrg4, Nppa, Il11, C1qtnf12, Osgin1, Gdf3, Prl7a2, Grn, Insl6, Ngf, Gm13271, Prl3a1, Bmp8b, Gdf11, Reg1, Ccn3, Insl5, Il17a, Angptl3, Fasl, Lif, Cxcl10, Nrg1, Il1f9, Artn"
"GO:0004175"	"endopeptidase activity"	0.0011454753722795	0.0408297829174275	1.50438164316213	0.338342691936489	423	"Gzmk, Usp13, Mmp19, Adam8, Mmp12, Cfb, Mmp2, Sfrp1, Ctss, Gzma, F7, Htra1, Ctsc, C1s1, Hp, F10, Ctsh, Gzmb, Mmp3, Casp1, Tpsb2, Cma1, Mmp13, Mmp25, Ctsw, Pcsk6, Napsa, Lgmn, Gzmc, Usp35, Klk1b22, St14, Dpp4, Capn5, Ctsg, Htra3, Casp4, Prss46, Capn15, Ctsl, C1ra, Klk1b11, Rhbdl1, Bmp1, C1rb, Klk1b3, Pcsk5, Sval1, Mmp27, Cfi, Cym, Pycard, Plau, Ctsb, Mmp14, Psmb10, Adam23, Prss54, Adamts13, Gm5771, Mmp11, Ctsq, Pcsk4, 4930486L24Rik, Cela3a, Fap, Prss55, Mcpt4, Adamts2, Adam19, Proc, C1rl, Cfd, Psmb8, Cela2a, C2, Capn1, Prss3, Adam33, Prss58, Tmprss11a, Prss30, Ctsz, Adam26a, Ctsk, Hgf, Adam17"
"GO:0003779"	"actin binding"	0.00114810562571757	0.0408297829174275	2.02139505584549	0.4556546392879	411	"Nos2, Myh4, Tnnc2, Tnnt3, Tnni2, Myoz2, Myh1, Ttn, Myh8, Actn3, Gmfg, Pstpip2, Ccr5, Neb, Lmod3, Tmod4, Aif1, Was, Myo1f, Shtn1, Myom1, Pdlim3, Tpm2, Mybpc1, Parvg, S100a4, Pdlim4, Trpv4, Cap2, Actn2, Hcls1, Fmnl1, Egfr, Mybpc2, Coro2a, Coro1a, Myo1g, Adssl1, Synpo2, Nrap, Lcp1, Myot, Lsp1, Nod2, Csrp3, Pstpip1, Myoz1, Mefv, Xirp2, Fscn2, Msrb1, Abra, Flnc, Ppp1r9b, Tmsb4x, Tns4, Ppp1r18, Plec, Capg, Myom2, Myl4, Ssh3, Wipf1, Tns1, Mib2, Lmod2, Spata31, Pxk, Mypn, Tnni3, Myo5b, Ush1c, Coro1b, Palld, Gsn, Myo9b, Cnn1, Tulp1, Ldb3, Dmd, Rcsd1, Cnn2, Svil, Myh9, Xirp1, Tmod1, Cotl1, Tbc1d21, Pdlim2, Sntb1, Myoz3, Syne3, Evl, Syne1, Epb41l1, Capza3, Sptb, Snta1, Wipf2, Ablim1, Dbnl"
"GO:0004857"	"enzyme inhibitor activity"	0.00117508813160987	0.0408297829174275	1.54487359731014	0.350323926255155	362	"C3, Pi16, Cd55, Serpina3n, Cst7, Dpep1, Gas6, Itih5, Cd55b, Socs1, Wfdc17, Serpine2, Pkib, Lef1, Gpc3, Serping1, Serpina3g, Bcl2a1d, Tfpi2, Serpini1, Birc3, Notch1, Timp3, Hc, Serpinb1b, Myoz1, Wfdc1, Stfa2l1, Ppp1r9b, Anxa3, Cstb, Birc7, A2ml1, Cstdc4, Rhoh, Naip5, Prdx5, Serpinb6c, Timp1, Serpinb9, Trib1, App, Tnfsf14, Serpinb12, Inka2, Dgkz, Naip2, Wfdc3, Serpina3f, Serpina3i, Ngf, Cst3, Naip1, Rnh1, Timp4, Serpinf1, Angptl3, Serpinb8, Fnip2, Oaz3, Ppp1r1a, Csta2, Serpina9, Sbf1, Cib1, Arrb1, Bst2, Serpinb6a, Serpinb6b, Mrln, Serpina11, Kng2, Serpine1, Elfn1, Pkig, Pzp, Ppp1r12c, Ten1, Serpinb3d, Spink10, Ambp, Serpinb3a, Wfdc21, Serpina1c, Wfdc12, Serpina1f, Spint3, Spink13, Serpind1, Wfdc8, Crim1, Vil1, Rps6ka1, Serpina3c, Camk2n2, Tesc, Furin, Phactr4, Spink7, Ppp1r37, Wars"
"GO:0033218"	"amide binding"	0.00118906064209275	0.0408297829174275	1.71850618853344	0.391958479118403	338	"H2-M2, Marco, Cd14, Msr1, Inhba, Itgb2, Folr2, Anpep, Itm2a, Trem2, Gsap, Cd300lf, Atp1a3, Pltp, Tlr2, Lbp, Cd36, Ptges, Sorl1, Cma1, H2-T24, H2-Ab1, H2-T23, H2-Q4, Olfm1, Crip1, Ephb2, Nod2, Dpp4, Gstm4, Folr1, Gria3, Psap, Clip3, Gm7030, H2-Aa, Fcgr2b, Tlr1, Ctsl, Tap2, Gltp, H2-Q2, Pth1r, Nfkbia, Mgst1, Gm8909, Tlr6, Adrb2, Pth2r, H2-T10, Pcsk5, Calcrl, Ramp1, Gm11127, Lvrn, Crhr1, H2-Q10, Mc3r, Itm2b, Ctsb, Npr1, Cst3, Dbil5, Rnpep, Tap1, H2-M9"
"GO:0005126"	"cytokine receptor binding"	0.00119904076738609	0.0408297829174275	2.12732481248703	0.488951568111343	308	"Ccl8, Grem1, Cxcl2, Il1rn, Ccl5, Ccl11, Inhba, Ifng, Il1a, Tnf, Pf4, Cxcl16, Ccl9, Ccl6, Cxcl12, Cd300lf, Ccl7, Il1b, Cxcl14, Cxcl9, Tnfsf15, Ccl3, Traf1, Ccl12, Mstn, Tlr9, Ccl2, Ppbp, Il12rb1, Syk, Ltb, Traf5, Il23a, Cxcl13, Cxcl3, Ebi3, Il27, Tnfsf4, Il6, Il10, Lyn, Csf1, Tlr5, Ccl1, Tgfb1, Il6ra, Ccl4, Ccrl2, Xcl1, Ticam2, Clcf1, Tnfsf8, Il7, Ccl19, Inhbe, Osm, Kitl, Vegfd, Tnfsf14, Cxcl1, Pycard, Il11, Gdf3, Prl7a2, Tgfbr3, Ngf, Gm13271, Prl3a1, Bmp8b, Gdf11, Tmbim1, Amh, Fasl, Lif, Cxcl10, Lifr"
"GO:0001664"	"G protein-coupled receptor binding"	0.00123304562268804	0.0408297829174275	1.82124706014113	0.424630486986734	275	"C3, Marco, Ccl8, Cxcl2, Ccl5, Ccl11, Fpr1, Pf4, Cxcl16, Sfrp1, Ccl9, Ccl6, Cxcl12, Atp1a3, Ccl7, Cxcl14, Fcgr1, Cxcl9, Ccl3, Ccl12, Ccl2, Ppbp, Penk, Cxcl13, Cxcl3, Arap1, Bdkrb2, Gna15, Ccl1, Cnrip1, Ccl4, Ccrl2, Cthrc1, Npy, Xcl1, Ppp1r9b, Gnat1, Psap, Ccl19, Shank1, Adrb2, P2ry2, Grm5, Gpha2, Cxcl1, Nppa, Sag, Reep2, Slc9a3r1, Insl5, Fyn, Hspa1a, Grk2, Cxcl10, Dlg4"
"GO:0042277"	"peptide binding"	0.00123304562268804	0.0408297829174275	1.80498630379464	0.420999429599389	274	"H2-M2, Marco, Cd14, Msr1, Inhba, Itgb2, Anpep, Itm2a, Trem2, Gsap, Atp1a3, Tlr2, Lbp, Cd36, Ptges, Sorl1, Cma1, H2-T24, H2-Ab1, H2-T23, H2-Q4, Olfm1, Crip1, Ephb2, Nod2, Dpp4, Gstm4, Gria3, Gm7030, H2-Aa, Fcgr2b, Tlr1, Ctsl, Tap2, H2-Q2, Pth1r, Nfkbia, Mgst1, Gm8909, Tlr6, Adrb2, Pth2r, H2-T10, Pcsk5, Calcrl, Ramp1, Gm11127, Lvrn, Crhr1, H2-Q10, Mc3r, Itm2b, Ctsb, Npr1, Cst3, Rnpep, Tap1, H2-M9"
"GO:0030246"	"carbohydrate binding"	0.00125156445556946	0.0408297829174275	1.95778342574853	0.459533481809519	260	"Clec4d, Clec4e, Clec4n, Clec5a, Cd209g, Lgals3, Hk3, Klra2, Clec12a, Cd209f, Cd69, Pygm, Cd22, Chil3, Klri1, Mgl2, C4a, Olr1, Galnt6, Colec12, Siglec1, Clec4a2, P4ha3, Mrc2, Sell, Selp, Klrd1, Klrk1, Klra7, Klra5, C4b, Clec3b, Stbd1, Clec2d, Cd93, Clec10a, Klrg1, Pla2r1, Klrb1c, Klrb1f, Cd302, Cd248, Mrc1, Clec11a, Cd34, H6pd, Klrg2, Enpp2, Klre1, Fbp1, Pkd1l2, Gyg, Galnt10, Prg4, Vcan, Reg1, Pygl, Ogfod2, Clec14a, Mbl1, Cd209d, Fbxo6, Man2b2, Clec2i, Lman2l, Eng, Cln5, Galnt16, Apcs, Klri2, Man2a2"
