"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0050900"	"leukocyte migration"	4.34412699244766e-35	1.96484863868408e-31	-1
"GO:0030595"	"leukocyte chemotaxis"	5.50747282096772e-33	1.24551497846185e-29	-1
"GO:0060326"	"cell chemotaxis"	3.44855760885574e-32	5.19927535495151e-29	-1
"GO:0097529"	"myeloid leukocyte migration"	7.17678025614285e-31	8.11514427463352e-28	-1
"GO:0001819"	"positive regulation of cytokine production"	2.22772607853627e-27	2.01520101064391e-24	-1
"GO:0042110"	"T cell activation"	1.94323529852857e-25	1.46242420759092e-22	-1
"GO:0002683"	"negative regulation of immune system process"	2.26331405110247e-25	1.46242420759092e-22	-1
"GO:1990266"	"neutrophil migration"	2.76235064471583e-25	1.56176399575621e-22	-1
"GO:0097530"	"granulocyte migration"	3.85948751582768e-25	1.93960689267651e-22	-1
"GO:0031349"	"positive regulation of defense response"	4.98578581671247e-24	2.25507092489905e-21	-1
"GO:0050727"	"regulation of inflammatory response"	9.20233797075481e-24	3.78383405833855e-21	-1
"GO:0071621"	"granulocyte chemotaxis"	1.49079011138888e-23	5.61903639484324e-21	-1
"GO:0030593"	"neutrophil chemotaxis"	2.06941313320235e-23	7.19996584728788e-21	-1
"GO:0032103"	"positive regulation of response to external stimulus"	6.56760241338339e-23	2.12180469398093e-20	-1
"GO:0007159"	"leukocyte cell-cell adhesion"	1.30293077974029e-22	3.9287706111769e-20	-1
"GO:0002274"	"myeloid leukocyte activation"	1.90375510188334e-22	5.38167770363648e-20	-1
"GO:0050663"	"cytokine secretion"	1.57613023729161e-20	4.19343356662938e-18	-1
"GO:1903037"	"regulation of leukocyte cell-cell adhesion"	2.96139911116562e-20	7.44133787766784e-18	-1
"GO:0050707"	"regulation of cytokine secretion"	3.18384740486441e-20	7.57923253273775e-18	-1
"GO:0022407"	"regulation of cell-cell adhesion"	2.22872551368852e-19	5.0402627492066e-17	-1
"GO:0002685"	"regulation of leukocyte migration"	9.16359212366376e-19	1.9736631988253e-16	-1
"GO:0050708"	"regulation of protein secretion"	1.30916888674466e-18	2.69153221579368e-16	-1
"GO:0002687"	"positive regulation of leukocyte migration"	4.19148499044794e-18	8.2426463529548e-16	-1
"GO:0050715"	"positive regulation of cytokine secretion"	9.528614513304e-18	1.79574681015308e-15	-1
"GO:1903532"	"positive regulation of secretion by cell"	1.5801054867774e-17	2.85872684667768e-15	-1
"GO:0070661"	"leukocyte proliferation"	1.79565062724679e-17	3.12374145655279e-15	-1
"GO:0071674"	"mononuclear cell migration"	2.63968142152687e-17	4.42195521095038e-15	-1
"GO:0002703"	"regulation of leukocyte mediated immunity"	3.46619616889986e-17	5.59914473997645e-15	-1
"GO:0032635"	"interleukin-6 production"	5.20128630506894e-17	8.11221308890579e-15	-1
"GO:0050714"	"positive regulation of protein secretion"	7.5847370115892e-17	1.1435255167806e-14	-1
"GO:0002697"	"regulation of immune effector process"	9.29162606345233e-17	1.355678215645e-14	-1
"GO:0050863"	"regulation of T cell activation"	1.10554151827588e-16	1.56261383973807e-14	-1
"GO:0002793"	"positive regulation of peptide secretion"	1.38124219770417e-16	1.89313892733817e-14	-1
"GO:0045088"	"regulation of innate immune response"	1.46271118771134e-16	1.94583608882894e-14	-1
"GO:0032675"	"regulation of interleukin-6 production"	1.66746151309853e-16	2.15483669249847e-14	-1
"GO:0002366"	"leukocyte activation involved in immune response"	2.27803326160262e-16	2.86209567839685e-14	-1
"GO:0050867"	"positive regulation of cell activation"	3.28201315735823e-16	4.01203932722467e-14	-1
"GO:0002263"	"cell activation involved in immune response"	3.3908796304017e-16	4.03603909692286e-14	-1
"GO:0072676"	"lymphocyte migration"	5.92325282605043e-16	6.86945449544259e-14	-1
"GO:0002696"	"positive regulation of leukocyte activation"	7.11017050251854e-16	8.03982529572284e-14	-1
"GO:0046651"	"lymphocyte proliferation"	1.1262402537078e-15	1.24243528476106e-13	-1
"GO:0032943"	"mononuclear cell proliferation"	1.34392170062714e-15	1.44727567903251e-13	-1
"GO:1902105"	"regulation of leukocyte differentiation"	2.68226008574763e-15	2.82136334135733e-13	-1
