"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0003012"	"muscle system process"	3.1289521711331e-21	1.22435898456438e-17	NA
"GO:0060326"	"cell chemotaxis"	2.44240390129517e-19	4.77856323288401e-16	NA
"GO:0050900"	"leukocyte migration"	7.04310746854479e-19	8.6488277873506e-16	NA
"GO:0006936"	"muscle contraction"	1.07836093523366e-18	8.6488277873506e-16	NA
"GO:0030595"	"leukocyte chemotaxis"	1.10514027438674e-18	8.6488277873506e-16	NA
"GO:0097529"	"myeloid leukocyte migration"	1.0169253044164e-17	6.63204786030226e-15	NA
"GO:0032103"	"positive regulation of response to external stimulus"	9.6493916828037e-17	5.39400995068727e-14	NA
"GO:0051146"	"striated muscle cell differentiation"	1.04740732773715e-15	5.12313109179431e-13	NA
"GO:0050727"	"regulation of inflammatory response"	2.16608613480884e-15	9.41766116167442e-13	NA
"GO:0042692"	"muscle cell differentiation"	2.91952844534543e-15	1.14241148066367e-12	NA
"GO:0097530"	"granulocyte migration"	6.41393337070501e-15	2.28161102541534e-12	NA
"GO:0001819"	"positive regulation of cytokine production"	7.47299973973826e-15	2.43682066513298e-12	NA
"GO:1990266"	"neutrophil migration"	5.33867160299742e-14	1.60694015250222e-11	NA
"GO:0002687"	"positive regulation of leukocyte migration"	7.6794890655975e-14	2.1464171938345e-11	NA
"GO:0071621"	"granulocyte chemotaxis"	9.07057676373613e-14	2.36621112509996e-11	NA
"GO:0002685"	"regulation of leukocyte migration"	1.51647753883472e-13	3.70873538091266e-11	NA
"GO:0030239"	"myofibril assembly"	2.13195987145274e-13	4.9072699864674e-11	NA
"GO:0019221"	"cytokine-mediated signaling pathway"	4.29916564419237e-13	9.34590842540264e-11	NA
"GO:0030593"	"neutrophil chemotaxis"	1.18464088488505e-12	2.43973672766062e-10	NA
"GO:0002526"	"acute inflammatory response"	1.27630156185426e-12	2.49708400576785e-10	NA
"GO:0031349"	"positive regulation of defense response"	2.95367037092659e-12	5.50367245782655e-10	NA
"GO:0019722"	"calcium-mediated signaling"	3.31821242607203e-12	5.90189328328174e-10	NA
"GO:0055002"	"striated muscle cell development"	7.96923882282343e-12	1.35581006581339e-09	NA
"GO:0030240"	"skeletal muscle thin filament assembly"	1.36964590782864e-11	2.23309351555561e-09	NA
"GO:0055001"	"muscle cell development"	2.67149703494691e-11	4.08808683972114e-09	NA
"GO:0014866"	"skeletal myofibril assembly"	2.71633677057883e-11	4.08808683972114e-09	NA
"GO:0071674"	"mononuclear cell migration"	3.39109664621749e-11	4.91457821357372e-09	NA
"GO:0019932"	"second-messenger-mediated signaling"	5.06741257202345e-11	7.08170906940277e-09	NA
"GO:0006941"	"striated muscle contraction"	5.57153738447286e-11	7.51773302946286e-09	NA
"GO:0002688"	"regulation of leukocyte chemotaxis"	7.78296177062336e-11	1.01310946289962e-08	NA
"GO:0045214"	"sarcomere organization"	8.02616748016569e-11	1.01310946289962e-08	NA
"GO:0010927"	"cellular component assembly involved in morphogenesis"	1.0941221698093e-10	1.33790626576994e-08	NA
"GO:0090257"	"regulation of muscle system process"	2.75874686808499e-10	3.27120499842926e-08	NA
"GO:0002683"	"negative regulation of immune system process"	3.35730970969633e-10	3.86386849824757e-08	NA
"GO:0070098"	"chemokine-mediated signaling pathway"	3.57022301653482e-10	3.99150933248592e-08	NA
"GO:0050708"	"regulation of protein secretion"	7.24080507505201e-10	7.87035284963292e-08	NA
"GO:0002690"	"positive regulation of leukocyte chemotaxis"	9.99469353653225e-10	1.05700637320137e-07	NA
"GO:0050921"	"positive regulation of chemotaxis"	1.44538687460998e-09	1.48836811588128e-07	NA
"GO:1990868"	"response to chemokine"	1.72349504132694e-09	1.68600902417808e-07	NA
"GO:1990869"	"cellular response to chemokine"	1.72349504132694e-09	1.68600902417808e-07	NA
"GO:0060537"	"muscle tissue development"	1.96815624121793e-09	1.87838911509409e-07	NA
"GO:0002548"	"monocyte chemotaxis"	3.28929076532431e-09	3.06452256302715e-07	NA
"GO:0050920"	"regulation of chemotaxis"	3.42528277973699e-09	3.11700732956066e-07	NA
"GO:0042060"	"wound healing"	3.64065863972807e-09	3.19618627262852e-07	NA
"GO:0035051"	"cardiocyte differentiation"	3.67565505413451e-09	3.19618627262852e-07	NA
"GO:0055013"	"cardiac muscle cell development"	4.05516268417618e-09	3.44953295286552e-07	NA
"GO:0055003"	"cardiac myofibril assembly"	4.70654303413047e-09	3.91844742394735e-07	NA
"GO:0006953"	"acute-phase response"	5.80524073109728e-09	4.7324806209966e-07	NA
"GO:0055006"	"cardiac cell development"	7.61008953668422e-09	6.0772000728664e-07	NA
"GO:0048747"	"muscle fiber development"	8.38168419243918e-09	6.5595060490029e-07	NA
