"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0031225"	"anchored component of membrane"	3.11553919841678e-11	8.71998350894655e-09	-1
"GO:0015629"	"actin cytoskeleton"	5.02592709449369e-11	8.71998350894655e-09	-1
"GO:0030016"	"myofibril"	7.05321173428418e-09	6.72003029887121e-07	-1
"GO:0030017"	"sarcomere"	7.74643262117719e-09	6.72003029887121e-07	-1
"GO:0043292"	"contractile fiber"	1.92680269495226e-08	1.31305276317546e-06	-1
"GO:0044449"	"contractile fiber part"	2.27040823603825e-08	1.31305276317546e-06	-1
"GO:0005865"	"striated muscle thin filament"	3.28295165248014e-07	1.62740603344373e-05	-1
"GO:0036379"	"myofilament"	5.28329017739939e-07	2.15652682325352e-05	-1
"GO:0031012"	"extracellular matrix"	5.59329723610424e-07	2.15652682325352e-05	-1
"GO:0045121"	"membrane raft"	1.44215412997945e-06	4.74508286945446e-05	-1
"GO:0098857"	"membrane microdomain"	1.50420494420747e-06	4.74508286945446e-05	-1
"GO:0098589"	"membrane region"	2.46377074965455e-06	7.12440375108441e-05	-1
"GO:0030018"	"Z disc"	6.19155409797948e-06	0.000165266867076837	-1
"GO:0045335"	"phagocytic vesicle"	9.07750038976808e-06	0.000224992331089252	-1
"GO:0031674"	"I band"	1.44814960124597e-05	0.000335005274421567	-1
"GO:0062023"	"collagen-containing extracellular matrix"	1.68221251758804e-05	0.000364829839751905	-1
"GO:0043020"	"NADPH oxidase complex"	2.66420778242558e-05	0.000543811823824515	-1
"GO:0005764"	"lysosome"	5.22122399378005e-05	0.000983696093568874	-1
"GO:0000323"	"lytic vacuole"	5.38623221262496e-05	0.000983696093568874	-1
"GO:0034358"	"plasma lipoprotein particle"	0.000203286692496487	0.00335907058553719	-1
"GO:1990777"	"lipoprotein particle"	0.000203286692496487	0.00335907058553719	-1
"GO:0032994"	"protein-lipid complex"	0.000266044270293266	0.00419624371780743	-1
"GO:0001772"	"immunological synapse"	0.000302449530326649	0.00456304291405858	-1
"GO:0030139"	"endocytic vesicle"	0.00036683097431847	0.00530376450368788	-1
"GO:0042567"	"insulin-like growth factor ternary complex"	0.00144063384620408	0.0199959977853126	-1
"GO:0043235"	"receptor complex"	0.00154985090694437	0.0206845486426806	-1
"GO:0005581"	"collagen trimer"	0.00172294295382124	0.0221430075917026	-1
"GO:0098636"	"protein complex involved in cell adhesion"	0.00235643966827889	0.0253601717783601	-1
"GO:0016942"	"insulin-like growth factor binding protein complex"	0.00237615753960299	0.0253601717783601	-1
"GO:0036454"	"growth factor complex"	0.00237615753960299	0.0253601717783601	-1
"GO:0042105"	"alpha-beta T cell receptor complex"	0.00237615753960299	0.0253601717783601	-1
"GO:0045177"	"apical part of cell"	0.00237914635731449	0.0253601717783601	-1
"GO:0031256"	"leading edge membrane"	0.00248322545397224	0.0253601717783601	-1
"GO:0016459"	"myosin complex"	0.00248485832986813	0.0253601717783601	-1
"GO:0005884"	"actin filament"	0.00315875857691938	0.0313168350340293	-1
"GO:0044853"	"plasma membrane raft"	0.00330539061690597	0.0318602928907326	-1
"GO:0031672"	"A band"	0.00348086245003679	0.0322100284675916	-1
"GO:0048237"	"rough endoplasmic reticulum lumen"	0.00352732300221465	0.0322100284675916	-1
"GO:0030864"	"cortical actin cytoskeleton"	0.00364978800594787	0.0324737548221516	-1
"GO:0030863"	"cortical cytoskeleton"	0.00394443280038524	0.0342179545433419	-1
"GO:0031362"	"anchored component of external side of plasma membrane"	0.00412275242359695	0.0348925631948327	-1
"GO:0042383"	"sarcolemma"	0.00429411145821062	0.0354775399047401	-1
"GO:0031430"	"M band"	0.00471880266815985	0.0380796401360807	-1
"GO:0070820"	"tertiary granule"	0.00488717502204572	0.038542039378406	-1
"GO:0031233"	"intrinsic component of external side of plasma membrane"	0.00606016927924057	0.0453107497148179	-1
"GO:0016529"	"sarcoplasmic reticulum"	0.00613719088356323	0.0453107497148179	-1
"GO:0046658"	"anchored component of plasma membrane"	0.00613719088356323	0.0453107497148179	-1
"GO:0031253"	"cell projection membrane"	0.00736292128186174	0.0532277851001255	-1
"GO:0005859"	"muscle myosin complex"	0.00820593478981358	0.058111415756435	-1
"GO:0002102"	"podosome"	0.00846009986065929	0.0587130930329755	-1
"GO:0016528"	"sarcoplasm"	0.00987436099841716	0.0662424823424031	-1
"GO:0005925"	"focal adhesion"	0.00992682732508635	0.0662424823424031	-1
"GO:0005924"	"cell-substrate adherens junction"	0.0121197749899462	0.0774757338991853	-1
"GO:0005583"	"fibrillar collagen trimer"	0.012280015459525	0.0774757338991853	-1
"GO:0098643"	"banded collagen fibril"	0.012280015459525	0.0774757338991853	-1
"GO:0000137"	"Golgi cis cisterna"	0.0145845962635261	0.0881226666430455	-1
"GO:0032009"	"early phagosome"	0.0145845962635261	0.0881226666430455	-1
"GO:0008305"	"integrin complex"	0.0147294370757828	0.0881226666430455	-1
"GO:0030055"	"cell-substrate junction"	0.0150968169696153	0.0887897540416357	-1
"GO:0044448"	"cell cortex part"	0.0155214273985194	0.0897655884547707	-1
"GO:0034362"	"low-density lipoprotein particle"	0.0170594605546285	0.0970431608599359	-1
"GO:0031252"	"cell leading edge"	0.0174454076582564	0.097449458880384	-1
"GO:0098858"	"actin-based cell projection"	0.0176925530532109	0.097449458880384	-1
"GO:0030141"	"secretory granule"	0.0184277626448394	0.0999130255899886	-1
"GO:0032589"	"neuron projection membrane"	0.0220679376816493	0.117808836546651	-1
"GO:0042101"	"T cell receptor complex"	0.0224966765432949	0.118277981220051	-1
"GO:0032587"	"ruffle membrane"	0.023145266015903	0.119871750858482	-1
"GO:0016235"	"aggresome"	0.0246224774957086	0.120634524165634	-1
"GO:0098802"	"plasma membrane receptor complex"	0.0250751084145413	0.120634524165634	-1
"GO:0016460"	"myosin II complex"	0.0254476975587401	0.120634524165634	-1
"GO:0030479"	"actin cortical patch"	0.0254476975587401	0.120634524165634	-1
"GO:0061645"	"endocytic patch"	0.0254476975587401	0.120634524165634	-1
"GO:0098644"	"complex of collagen trimers"	0.0254476975587401	0.120634524165634	-1
"GO:0005765"	"lysosomal membrane"	0.0258380179855881	0.120634524165634	-1
"GO:0001726"	"ruffle"	0.0262380000708841	0.120634524165634	-1
"GO:0016324"	"apical plasma membrane"	0.026618448157257	0.120634524165634	-1
"GO:0098852"	"lytic vacuole membrane"	0.026769044267302	0.120634524165634	-1
"GO:0005614"	"interstitial matrix"	0.0285463348078994	0.125387065548621	-1
"GO:0032982"	"myosin filament"	0.0285463348078994	0.125387065548621	-1
"GO:0098862"	"cluster of actin-based cell projections"	0.0314534071938128	0.136429153703163	-1
"GO:0043230"	"extracellular organelle"	0.0328032291948771	0.140527413958301	-1
"GO:0031091"	"platelet alpha granule"	0.0351652774011633	0.147016280219321	-1
"GO:0045277"	"respiratory chain complex IV"	0.0351652774011633	0.147016280219321	-1
