"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0030016"	"myofibril"	9.14499349410905e-25	2.935542911609e-22	NA
"GO:0043292"	"contractile fiber"	5.9705216316088e-24	9.58268721873212e-22	NA
"GO:0030017"	"sarcomere"	1.21954318106593e-23	1.30491120374055e-21	NA
"GO:0044449"	"contractile fiber part"	8.68297534353132e-23	6.96808771318388e-21	NA
"GO:0005865"	"striated muscle thin filament"	6.19006474813195e-19	3.97402156830071e-17	NA
"GO:0036379"	"myofilament"	1.76454543980165e-18	9.44031810293883e-17	NA
"GO:0031674"	"I band"	5.30548221617258e-14	2.43294255913057e-12	NA
"GO:0030018"	"Z disc"	1.90829035040868e-13	7.65701503101481e-12	NA
"GO:0015629"	"actin cytoskeleton"	2.01348573444777e-11	7.18143245286373e-10	NA
"GO:0031012"	"extracellular matrix"	2.17344062233139e-09	6.97674439768375e-08	NA
"GO:0031672"	"A band"	4.66958305707698e-09	1.36266923756519e-07	NA
"GO:0031430"	"M band"	5.66001670771322e-08	1.51405446931329e-06	NA
"GO:0031225"	"anchored component of membrane"	5.24606466895699e-07	1.2953744297963e-05	NA
"GO:0062023"	"collagen-containing extracellular matrix"	3.1346068880452e-06	7.18720579330364e-05	NA
"GO:0042383"	"sarcolemma"	5.32306343846763e-06	0.000113913557583207	NA
"GO:0016942"	"insulin-like growth factor binding protein complex"	9.35030036934689e-06	0.000176555671680021	NA
"GO:0036454"	"growth factor complex"	9.35030036934689e-06	0.000176555671680021	NA
"GO:0032982"	"myosin filament"	1.98843854549252e-05	0.000354604873946166	NA
"GO:0016459"	"myosin complex"	2.77730472657591e-05	0.000469218324858351	NA
"GO:0005861"	"troponin complex"	5.12238670491857e-05	0.000822143066139431	NA
"GO:0042567"	"insulin-like growth factor ternary complex"	0.000574296472777692	0.00877853179817329	NA
"GO:0031091"	"platelet alpha granule"	0.000817970107866258	0.0119349274829577	NA
"GO:0005927"	"muscle tendon junction"	0.000950927254383253	0.0132716368981315	NA
"GO:0045121"	"membrane raft"	0.0010422674217065	0.0136812273018766	NA
"GO:0098857"	"membrane microdomain"	0.00106551614500597	0.0136812273018766	NA
"GO:0005581"	"collagen trimer"	0.00124900472281855	0.0154204044624906	NA
"GO:0098589"	"membrane region"	0.00137952388089274	0.0162461405864389	NA
"GO:0048237"	"rough endoplasmic reticulum lumen"	0.00141710883620028	0.0162461405864389	NA
"GO:0033017"	"sarcoplasmic reticulum membrane"	0.00164753139411654	0.0182364681900486	NA
"GO:0005791"	"rough endoplasmic reticulum"	0.00241345195659754	0.0258239359355937	NA
"GO:0043197"	"dendritic spine"	0.00304877269320731	0.0315695495006305	NA
"GO:0005859"	"muscle myosin complex"	0.00333520069921013	0.0334562320139516	NA
"GO:0044309"	"neuron spine"	0.00351281566333213	0.0341701159978671	NA
"GO:0034358"	"plasma lipoprotein particle"	0.00491957642450113	0.0440578691102359	NA
"GO:1990777"	"lipoprotein particle"	0.00491957642450113	0.0440578691102359	NA
"GO:0030141"	"secretory granule"	0.00494106943292365	0.0440578691102359	NA
"GO:0032994"	"protein-lipid complex"	0.00575661570459317	0.0473919051493594	NA
"GO:0000137"	"Golgi cis cisterna"	0.00599641051900171	0.0473919051493594	NA
"GO:0043020"	"NADPH oxidase complex"	0.00599641051900171	0.0473919051493594	NA
"GO:0016529"	"sarcoplasmic reticulum"	0.00620081001954235	0.0473919051493594	NA
"GO:0031526"	"brush border membrane"	0.00620081001954235	0.0473919051493594	NA
"GO:0046658"	"anchored component of plasma membrane"	0.00620081001954235	0.0473919051493594	NA
"GO:0005916"	"fascia adherens"	0.00704080897977548	0.0513659018751802	NA
"GO:0034362"	"low-density lipoprotein particle"	0.00704080897977548	0.0513659018751802	NA
"GO:0005884"	"actin filament"	0.00730556568019715	0.0521130351854063	NA
"GO:0045177"	"apical part of cell"	0.0082267242206319	0.05740822771354	NA
"GO:0030863"	"cortical cytoskeleton"	0.00861444508891496	0.058834827096632	NA
"GO:0016528"	"sarcoplasm"	0.00924760961682056	0.0618433893124875	NA
"GO:0030667"	"secretory granule membrane"	0.00963651545186905	0.0631290093887748	NA
"GO:0016460"	"myosin II complex"	0.0106234242795808	0.0660974856089968	NA
"GO:0044327"	"dendritic spine head"	0.0106234242795808	0.0660974856089968	NA
"GO:0005903"	"brush border"	0.0107073808463172	0.0660974856089968	NA
"GO:0032590"	"dendrite membrane"	0.0111788615631851	0.0677059351279704	NA
"GO:0098862"	"cluster of actin-based cell projections"	0.0119268035805584	0.0698158805518569	NA
"GO:0005614"	"interstitial matrix"	0.0119622225244615	0.0698158805518569	NA
"GO:0030864"	"cortical actin cytoskeleton"	0.0141182216834341	0.0809276635782563	NA
"GO:0045277"	"respiratory chain complex IV"	0.0148475687846657	0.0836152557873279	NA
"GO:0005769"	"early endosome"	0.0153140453957477	0.0847553202075001	NA
"GO:0098858"	"actin-based cell projection"	0.0178487677876777	0.0963003330171616	NA
"GO:0031362"	"anchored component of external side of plasma membrane"	0.0180000622461984	0.0963003330171616	NA
"GO:0005924"	"cell-substrate adherens junction"	0.0199692471404047	0.105084071017539	NA
"GO:0005788"	"endoplasmic reticulum lumen"	0.0214957270143528	0.109525847168369	NA
"GO:0034704"	"calcium channel complex"	0.0214957270143528	0.109525847168369	NA
"GO:0031233"	"intrinsic component of external side of plasma membrane"	0.0232046132653437	0.112987429814507	NA
"GO:0042588"	"zymogen granule"	0.0232046132653437	0.112987429814507	NA
"GO:0014704"	"intercalated disc"	0.0234207650591201	0.112987429814507	NA
"GO:0030055"	"cell-substrate junction"	0.0235830460983551	0.112987429814507	NA
"GO:0005912"	"adherens junction"	0.0259282514187959	0.117632645102238	NA
"GO:0031253"	"cell projection membrane"	0.0280887634786099	0.117632645102238	NA
"GO:0043198"	"dendritic shaft"	0.0286290810247774	0.117632645102238	NA
"GO:0002102"	"podosome"	0.0289470144484265	0.117632645102238	NA
"GO:0008275"	"gamma-tubulin small complex"	0.0293165470659784	0.117632645102238	NA
"GO:0014701"	"junctional sarcoplasmic reticulum membrane"	0.0293165470659784	0.117632645102238	NA
"GO:0014802"	"terminal cisterna"	0.0293165470659784	0.117632645102238	NA
"GO:0031092"	"platelet alpha granule membrane"	0.0293165470659784	0.117632645102238	NA
"GO:0032010"	"phagolysosome"	0.0293165470659784	0.117632645102238	NA
"GO:0032449"	"CBM complex"	0.0293165470659784	0.117632645102238	NA
"GO:0043511"	"inhibin complex"	0.0293165470659784	0.117632645102238	NA
