"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0008009"	"chemokine activity"	9.54622589890456e-14	6.24323173788358e-11	-1
"GO:0048018"	"receptor ligand activity"	4.07297121219148e-13	1.33186158638661e-10	-1
"GO:0042379"	"chemokine receptor binding"	1.99283503681439e-12	4.34438038025538e-10	-1
"GO:0005125"	"cytokine activity"	3.14009524057585e-11	5.13405571834151e-09	-1
"GO:0005126"	"cytokine receptor binding"	8.64766819016276e-11	1.13111499927329e-08	-1
"GO:0005178"	"integrin binding"	1.49273156965222e-08	1.62707741092092e-06	-1
"GO:0048020"	"CCR chemokine receptor binding"	3.47614197550028e-08	3.24770978853884e-06	-1
"GO:0019955"	"cytokine binding"	1.30327860230519e-07	1.06543025738449e-05	-1
"GO:0050839"	"cell adhesion molecule binding"	2.09554176577622e-07	1.46248438816993e-05	-1
"GO:0001664"	"G protein-coupled receptor binding"	2.23621466081029e-07	1.46248438816993e-05	-1
"GO:0043395"	"heparan sulfate proteoglycan binding"	3.28878892816874e-07	1.95533450820214e-05	-1
"GO:0043394"	"proteoglycan binding"	1.52716347158205e-06	8.32304092012219e-05	-1
"GO:0001540"	"amyloid-beta binding"	3.7813983237541e-06	0.000190233423364245	-1
"GO:0003779"	"actin binding"	4.4505642227203e-06	0.000207904928689934	-1
"GO:0005539"	"glycosaminoglycan binding"	5.77007306795351e-06	0.000251575185762773	-1
"GO:0004896"	"cytokine receptor activity"	2.23242596570489e-05	0.000912504113481875	-1
"GO:0030674"	"protein binding, bridging"	3.31418674551587e-05	0.00127498713621611	-1
"GO:0008201"	"heparin binding"	3.55368020809894e-05	0.00129117047560928	-1
"GO:0070891"	"lipoteichoic acid binding"	3.75468371365434e-05	0.00129240165722628	-1
"GO:0035325"	"Toll-like receptor binding"	5.29101550072803e-05	0.00173016206873807	-1
"GO:0001530"	"lipopolysaccharide binding"	6.78847900385478e-05	0.00211412631834335	-1
"GO:0004620"	"phospholipase activity"	7.38523190134748e-05	0.00215997334712719	-1
"GO:0005201"	"extracellular matrix structural constituent"	7.5962365418846e-05	0.00215997334712719	-1
"GO:0005149"	"interleukin-1 receptor binding"	0.000153895603083342	0.00402590897666023	-1
"GO:0038187"	"pattern recognition receptor activity"	0.000153895603083342	0.00402590897666023	-1
"GO:1901681"	"sulfur compound binding"	0.000176252654130553	0.00443343214620699	-1
"GO:0042287"	"MHC protein binding"	0.000234917726209372	0.00536037089390596	-1
"GO:0001618"	"virus receptor activity"	0.000237692287344454	0.00536037089390596	-1
"GO:0104005"	"hijacked molecular function"	0.000237692287344454	0.00536037089390596	-1
"GO:0016175"	"superoxide-generating NADPH oxidase activity"	0.000300947583489657	0.00656065732007451	-1
"GO:0051015"	"actin filament binding"	0.000313349191487924	0.00661065713655169	-1
"GO:0042056"	"chemoattractant activity"	0.000389496009013948	0.00796032468422255	-1
"GO:0070851"	"growth factor receptor binding"	0.000515824260471491	0.0102226989802532	-1
"GO:0019838"	"growth factor binding"	0.00054202031583069	0.0104259201927433	-1
"GO:0008307"	"structural constituent of muscle"	0.000583313627956477	0.0108996317909582	-1
"GO:0016298"	"lipase activity"	0.000698125491428886	0.0126826130942914	-1
"GO:0034988"	"Fc-gamma receptor I complex binding"	0.000730512636132048	0.0127619548644474	-1
"GO:0005518"	"collagen binding"	0.00075102040636176	0.0127619548644474	-1
"GO:0036122"	"BMP binding"	0.000761034005678059	0.0127619548644474	-1
"GO:0009055"	"electron transfer activity"	0.00081073369461082	0.0131589958059077	-1
"GO:0008047"	"enzyme activator activity"	0.000832002997368885	0.0131589958059077	-1
"GO:0033218"	"amide binding"	0.000845073125150034	0.0131589958059077	-1
"GO:0050664"	"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"	0.00097786427930507	0.0148726334573376	-1
"GO:0005543"	"phospholipid binding"	0.00102348803812857	0.0152127540212747	-1
"GO:0008235"	"metalloexopeptidase activity"	0.00131929213899029	0.0191737124199922	-1
"GO:0004875"	"complement receptor activity"	0.00144582912414254	0.0201185584508345	-1
"GO:0031727"	"CCR2 chemokine receptor binding"	0.00144582912414254	0.0201185584508345	-1
"GO:0030296"	"protein tyrosine kinase activator activity"	0.00184891917021471	0.0251915236941754	-1
"GO:0008237"	"metallopeptidase activity"	0.00192553779502085	0.0257000350600742	-1
"GO:0008329"	"signaling pattern recognition receptor activity"	0.00221914620014098	0.0283560604422515	-1
"GO:0050840"	"extracellular matrix binding"	0.00232426109337779	0.0283560604422515	-1
"GO:0023024"	"MHC class I protein complex binding"	0.00238468398214653	0.0283560604422515	-1
"GO:0035662"	"Toll-like receptor 4 binding"	0.00238468398214653	0.0283560604422515	-1
"GO:0051373"	"FATZ binding"	0.00238468398214653	0.0283560604422515	-1
"GO:0070290"	"N-acylphosphatidylethanolamine-specific phospholipase D activity"	0.00238468398214653	0.0283560604422515	-1
"GO:0038024"	"cargo receptor activity"	0.00250037771430391	0.0292008397349064	-1
"GO:0042288"	"MHC class I protein binding"	0.0026321963195525	0.030200989350655	-1
"GO:0060090"	"molecular adaptor activity"	0.00289169985064053	0.0326064086606708	-1
"GO:0020037"	"heme binding"	0.00345818947511483	0.0361502809843499	-1
"GO:0042277"	"peptide binding"	0.003475487663518	0.0361502809843499	-1
"GO:0019863"	"IgE binding"	0.00353991715973738	0.0361502809843499	-1
"GO:0031433"	"telethonin binding"	0.00353991715973738	0.0361502809843499	-1
"GO:0001614"	"purinergic nucleotide receptor activity"	0.003592917834836	0.0361502809843499	-1
"GO:0004602"	"glutathione peroxidase activity"	0.003592917834836	0.0361502809843499	-1
"GO:0016502"	"nucleotide receptor activity"	0.003592917834836	0.0361502809843499	-1
"GO:0001784"	"phosphotyrosine residue binding"	0.00455912003130644	0.0437823143367301	-1
"GO:0001848"	"complement binding"	0.00474235057545518	0.0437823143367301	-1
"GO:0019865"	"immunoglobulin binding"	0.00474235057545518	0.0437823143367301	-1
"GO:0046906"	"tetrapyrrole binding"	0.00483631384816043	0.0437823143367301	-1
"GO:0004908"	"interleukin-1 receptor activity"	0.00490453730409706	0.0437823143367301	-1
"GO:0019966"	"interleukin-1 binding"	0.00490453730409706	0.0437823143367301	-1
"GO:0045236"	"CXCR chemokine receptor binding"	0.00490453730409706	0.0437823143367301	-1
"GO:0071723"	"lipopeptide binding"	0.00490453730409706	0.0437823143367301	-1
"GO:0016709"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	0.00495396217265753	0.0437823143367301	-1
"GO:0005044"	"scavenger receptor activity"	0.00537110093535002	0.0463902806796058	-1
"GO:0030506"	"ankyrin binding"	0.0053909194673548	0.0463902806796058	-1
"GO:0016176"	"superoxide-generating NADPH oxidase activator activity"	0.00647171825113513	0.0529062967030297	-1
"GO:0019763"	"immunoglobulin receptor activity"	0.00647171825113513	0.0529062967030297	-1
"GO:0019864"	"IgG binding"	0.00647171825113513	0.0529062967030297	-1
"GO:0050786"	"RAGE receptor binding"	0.00647171825113513	0.0529062967030297	-1
"GO:0035586"	"purinergic receptor activity"	0.00684111776561414	0.0552356915890327	-1
"GO:0004497"	"monooxygenase activity"	0.0075392055905668	0.0601297616613498	-1
"GO:0016651"	"oxidoreductase activity, acting on NAD(P)H"	0.0081185323832873	0.0621378959744154	-1
"GO:0003796"	"lysozyme activity"	0.00823479558474812	0.0621378959744154	-1
"GO:0050544"	"arachidonic acid binding"	0.00823479558474812	0.0621378959744154	-1
"GO:0004252"	"serine-type endopeptidase activity"	0.00828074032453537	0.0621378959744154	-1
"GO:0008083"	"growth factor activity"	0.00840715978983411	0.0621378959744154	-1
"GO:0005070"	"SH3/SH2 adaptor activity"	0.00850151762107497	0.0621378959744154	-1
"GO:0043325"	"phosphatidylinositol-3,4-bisphosphate binding"	0.00850151762107497	0.0621378959744154	-1
"GO:0030295"	"protein kinase activator activity"	0.00855108660198377	0.0621378959744154	-1
"GO:0071813"	"lipoprotein particle binding"	0.00941252934799572	0.0669108064520566	-1
"GO:0071814"	"protein-lipid complex binding"	0.00941252934799572	0.0669108064520566	-1
"GO:0045309"	"protein phosphorylated amino acid binding"	0.00957336121020427	0.0673223465749849	-1
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	0.0101872632629344	0.0674745635455159	-1
"GO:0008331"	"high voltage-gated calcium channel activity"	0.0101872632629344	0.0674745635455159	-1
"GO:0050542"	"icosanoid binding"	0.0101872632629344	0.0674745635455159	-1
"GO:0050543"	"icosatetraenoic acid binding"	0.0101872632629344	0.0674745635455159	-1
"GO:0004601"	"peroxidase activity"	0.0102140394357891	0.0674745635455159	-1
"GO:0035591"	"signaling adaptor activity"	0.0102140394357891	0.0674745635455159	-1
"GO:0004175"	"endopeptidase activity"	0.0106267151922742	0.0694987173574732	-1
"GO:0016209"	"antioxidant activity"	0.0114850938576903	0.0736397194404847	-1
"GO:0019209"	"kinase activator activity"	0.0114850938576903	0.0736397194404847	-1
"GO:0008239"	"dipeptidyl-peptidase activity"	0.0123227703095222	0.0777107398178178	-1
"GO:0001968"	"fibronectin binding"	0.012476494924879	0.0777107398178178	-1
"GO:0004623"	"phospholipase A2 activity"	0.012476494924879	0.0777107398178178	-1
"GO:0005096"	"GTPase activator activity"	0.0126641554228964	0.0781354494959835	-1
"GO:0016684"	"oxidoreductase activity, acting on peroxide as acceptor"	0.0130519737058914	0.0797756149874111	-1
"GO:0004364"	"glutathione transferase activity"	0.01360984093894	0.0824151479080257	-1
"GO:0005200"	"structural constituent of cytoskeleton"	0.0138321709868015	0.0829930259208089	-1
"GO:0001608"	"G protein-coupled nucleotide receptor activity"	0.014635117570291	0.084702361866994	-1
"GO:0023023"	"MHC protein complex binding"	0.014635117570291	0.084702361866994	-1
"GO:0045028"	"G protein-coupled purinergic nucleotide receptor activity"	0.014635117570291	0.084702361866994	-1
"GO:0048407"	"platelet-derived growth factor binding"	0.014635117570291	0.084702361866994	-1
"GO:0005164"	"tumor necrosis factor receptor binding"	0.014799886713493	0.0849046132510912	-1
"GO:0008236"	"serine-type peptidase activity"	0.0156648123431347	0.0890851067166094	-1
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	0.0160862805123433	0.0906933401299358	-1
"GO:0005080"	"protein kinase C binding"	0.0163480350541442	0.0913813241488058	-1
"GO:0045125"	"bioactive lipid receptor activity"	0.0171182545322884	0.093294487200972	-1
"GO:0061783"	"peptidoglycan muralytic activity"	0.0171182545322884	0.093294487200972	-1
"GO:0097001"	"ceramide binding"	0.0171182545322884	0.093294487200972	-1
"GO:0017171"	"serine hydrolase activity"	0.0178543519095643	0.0965020342880581	-1
"GO:0017147"	"Wnt-protein binding"	0.0187130859376278	0.10031441150171	-1
"GO:0030695"	"GTPase regulator activity"	0.0194961029119824	0.103662205727126	-1
"GO:0030021"	"extracellular matrix structural constituent conferring compression resistance"	0.0197662762051661	0.104251166436924	-1
"GO:0051393"	"alpha-actinin binding"	0.0201325002922623	0.105333241529117	-1
"GO:0048365"	"Rac GTPase binding"	0.0221949321369358	0.112694784133207	-1
"GO:0001846"	"opsonin binding"	0.0225734200633793	0.112694784133207	-1
"GO:0004089"	"carbonate dehydratase activity"	0.0225734200633793	0.112694784133207	-1
"GO:0005172"	"vascular endothelial growth factor receptor binding"	0.0225734200633793	0.112694784133207	-1
"GO:0042834"	"peptidoglycan binding"	0.0225734200633793	0.112694784133207	-1
"GO:0047498"	"calcium-dependent phospholipase A2 activity"	0.0225734200633793	0.112694784133207	-1
"GO:0008238"	"exopeptidase activity"	0.0233247856606793	0.115563710773366	-1
"GO:0008179"	"adenylate cyclase binding"	0.0255340630481171	0.123698349877545	-1
"GO:0016805"	"dipeptidase activity"	0.0255340630481171	0.123698349877545	-1
"GO:0048019"	"receptor antagonist activity"	0.0255340630481171	0.123698349877545	-1
"GO:0030246"	"carbohydrate binding"	0.0275230524754562	0.132353502345209	-1
"GO:0030169"	"low-density lipoprotein particle binding"	0.0286427186278473	0.135741579584146	-1
"GO:0034185"	"apolipoprotein binding"	0.0286427186278473	0.135741579584146	-1
