"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0048018"	"receptor ligand activity"	5.32835222728455e-12	2.9998623039612e-09	NA
"GO:0005125"	"cytokine activity"	7.58440127983135e-11	2.13500896027252e-08	NA
"GO:0008009"	"chemokine activity"	4.96114566205526e-10	9.31041669245704e-08	NA
"GO:0003779"	"actin binding"	2.73312839634953e-09	3.84687821786197e-07	NA
"GO:0042379"	"chemokine receptor binding"	2.4454948153813e-08	2.74532941148682e-06	NA
"GO:0005539"	"glycosaminoglycan binding"	2.92575070495931e-08	2.74532941148682e-06	NA
"GO:0051371"	"muscle alpha-actinin binding"	4.80986024502439e-08	3.8685018827839e-06	NA
"GO:0051393"	"alpha-actinin binding"	7.89045982802466e-08	5.24311197344992e-06	NA
"GO:0019955"	"cytokine binding"	8.38152890960023e-08	5.24311197344992e-06	NA
"GO:0051015"	"actin filament binding"	1.23330175668289e-07	6.94348889012466e-06	NA
"GO:0008307"	"structural constituent of muscle"	1.5175104349814e-07	7.76689431722297e-06	NA
"GO:1901681"	"sulfur compound binding"	2.85283371989605e-07	1.3056682977306e-05	NA
"GO:0001530"	"lipopolysaccharide binding"	3.1472398052461e-07	1.3056682977306e-05	NA
"GO:0005044"	"scavenger receptor activity"	3.24677729453435e-07	1.3056682977306e-05	NA
"GO:0042805"	"actinin binding"	5.13391234516714e-07	1.90414018037047e-05	NA
"GO:0008201"	"heparin binding"	5.41141081455196e-07	1.90414018037047e-05	NA
"GO:0005126"	"cytokine receptor binding"	1.34624472977252e-06	4.45844578154075e-05	NA
"GO:0005201"	"extracellular matrix structural constituent"	1.68728820879967e-06	5.27746256419007e-05	NA
"GO:0038024"	"cargo receptor activity"	2.86283455911611e-06	8.48303082517038e-05	NA
"GO:0035325"	"Toll-like receptor binding"	9.44620846033277e-06	0.000236426313241866	NA
"GO:0001664"	"G protein-coupled receptor binding"	9.87659819829873e-06	0.000236426313241866	NA
"GO:0035662"	"Toll-like receptor 4 binding"	1.00785639747865e-05	0.000236426313241866	NA
"GO:0051373"	"FATZ binding"	1.00785639747865e-05	0.000236426313241866	NA
"GO:0070891"	"lipoteichoic acid binding"	1.00785639747865e-05	0.000236426313241866	NA
"GO:0008237"	"metallopeptidase activity"	1.29840309165027e-05	0.000292400376239642	NA
"GO:0016209"	"antioxidant activity"	2.70511136530555e-05	0.000562510244482416	NA
"GO:0033218"	"amide binding"	2.76013422838268e-05	0.000562510244482416	NA
"GO:0001540"	"amyloid-beta binding"	2.89747728063767e-05	0.000562510244482416	NA
"GO:0005200"	"structural constituent of cytoskeleton"	2.89747728063767e-05	0.000562510244482416	NA
"GO:0043394"	"proteoglycan binding"	3.40178840565358e-05	0.000582039930651678	NA
"GO:0004908"	"interleukin-1 receptor activity"	3.4749003093973e-05	0.000582039930651678	NA
"GO:0045236"	"CXCR chemokine receptor binding"	3.4749003093973e-05	0.000582039930651678	NA
"GO:0036041"	"long-chain fatty acid binding"	3.51498359540978e-05	0.000582039930651678	NA
