"ID"	"Description"	"pvalue"	"p.adjust"	"Sign"
"GO:0042287"	"MHC protein binding"	3.73306795645372e-05	0.00466633494556715	1
"GO:0042288"	"MHC class I protein binding"	0.000477004069956984	0.0297597591451384	1
"GO:0004896"	"cytokine receptor activity"	0.000714234219483321	0.0297597591451384	1
"GO:0004879"	"nuclear receptor activity"	0.00237148153195544	0.0558094717450015	1
"GO:0098531"	"transcription factor activity, direct ligand regulated sequence-specific DNA binding"	0.00237148153195544	0.0558094717450015	1
"GO:0008009"	"chemokine activity"	0.00286309892320247	0.0558094717450015	1
"GO:0048020"	"CCR chemokine receptor binding"	0.00312533041772008	0.0558094717450015	1
"GO:0003707"	"steroid hormone receptor activity"	0.00443845159814547	0.0613925525717911	1
"GO:0031735"	"CCR10 chemokine receptor binding"	0.00540254462631762	0.0613925525717911	1
"GO:0042015"	"interleukin-20 binding"	0.00540254462631762	0.0613925525717911	1
"GO:0048248"	"CXCR3 chemokine receptor binding"	0.00540254462631762	0.0613925525717911	1
"GO:0042379"	"chemokine receptor binding"	0.00651878694748572	0.0679040307029763	1
"GO:0004969"	"histamine receptor activity"	0.00719705684557093	0.0692024696689512	1
"GO:0004530"	"deoxyribonuclease I activity"	0.00898841012943941	0.0749034177453284	1
"GO:0023024"	"MHC class I protein complex binding"	0.00898841012943941	0.0749034177453284	1
"GO:0004931"	"extracellularly ATP-gated cation channel activity"	0.0125616615699136	0.0896473158957051	1
"GO:0045236"	"CXCR chemokine receptor binding"	0.0125616615699136	0.0896473158957051	1
"GO:0030280"	"structural constituent of epidermis"	0.0143435705433128	0.0896473158957051	1
"GO:0035381"	"ATP-gated ion channel activity"	0.0143435705433128	0.0896473158957051	1
"GO:0042289"	"MHC class II protein binding"	0.0143435705433128	0.0896473158957051	1
"GO:0023023"	"MHC protein complex binding"	0.0214398872322418	0.127618376382392	1
"GO:0019955"	"cytokine binding"	0.0226911007753181	0.128926708950671	1
"GO:0005159"	"insulin-like growth factor receptor binding"	0.0249693292347597	0.128943365722509	1
"GO:0046935"	"1-phosphatidylinositol-3-kinase regulator activity"	0.0249693292347597	0.128943365722509	1
"GO:0016888"	"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	0.0267293898829072	0.128943365722509	1
"GO:0035257"	"nuclear hormone receptor binding"	0.0296288672150419	0.128943365722509	1
"GO:0070628"	"proteasome binding"	0.0319909943718484	0.128943365722509	1
"GO:0035014"	"phosphatidylinositol 3-kinase regulator activity"	0.0337386877634881	0.128943365722509	1
"GO:0001614"	"purinergic nucleotide receptor activity"	0.0354833026041477	0.128943365722509	1
"GO:0001618"	"virus receptor activity"	0.0354833026041477	0.128943365722509	1
"GO:0016502"	"nucleotide receptor activity"	0.0354833026041477	0.128943365722509	1
"GO:0031489"	"myosin V binding"	0.0354833026041477	0.128943365722509	1
"GO:0035259"	"glucocorticoid receptor binding"	0.0354833026041477	0.128943365722509	1
"GO:0104005"	"hijacked molecular function"	0.0354833026041477	0.128943365722509	1
"GO:0005506"	"iron ion binding"	0.0361041424023024	0.128943365722509	1
"GO:0046965"	"retinoid X receptor binding"	0.0389633177737159	0.131429712190992	1
"GO:0051427"	"hormone receptor binding"	0.0405590807534604	0.131429712190992	1
"GO:0016493"	"C-C chemokine receptor activity"	0.0424310820745315	0.131429712190992	1
"GO:0001637"	"G protein-coupled chemoattractant receptor activity"	0.0441603832961733	0.131429712190992	1
"GO:0004950"	"chemokine receptor activity"	0.0441603832961733	0.131429712190992	1
"GO:0019957"	"C-C chemokine binding"	0.0441603832961733	0.131429712190992	1
"GO:0035586"	"purinergic receptor activity"	0.0441603832961733	0.131429712190992	1
"GO:0017134"	"fibroblast growth factor binding"	0.045886637559448	0.133391388254209	1
"GO:0019207"	"kinase regulator activity"	0.0478285634680305	0.13587660076145	1
"GO:0004190"	"aspartic-type endopeptidase activity"	0.0527612895901467	0.14630330609415	1
"GO:0070001"	"aspartic-type peptidase activity"	0.0544723874060169	0.14630330609415	1
"GO:0019956"	"chemokine binding"	0.0561804695401534	0.14630330609415	1
"GO:0042974"	"retinoic acid receptor binding"	0.0561804695401534	0.14630330609415	1
"GO:0005125"	"cytokine activity"	0.0574094972112687	0.146452799008338	1
