"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0100001634.mm.2";6,10647223417913;6,95446459861426;6,11362326929338;5,35933355167223;6,97327685964698;7,24245038461983;6,32144503623222;6,38140961699415;6,85888691765333;6,7882973231066;6,32787813873022
"TC1100001264.mm.2";7,99079537800462;7,78324164152334;7,38083607600985;7,18400863534478;7,46889121494857;8,37601185796161;8,09266708238797;7,88513419762235;8,72502636216229;8,84902895778989;8,15230416381204
"TC1700001683.mm.2";3,59295261234979;3,21926821002824;3,64078721004623;3,59057726458901;3,35117987842738;3,13399856940248;3,98048030084043;2,89399065615024;2,96668323732453;2,79897063951641;3,0643782712323
"TC0600003488.mm.2";6,06531115610578;6,38328911186654;6,73267049422257;6,48670526811794;6,12377858804654;6,4870999531419;6,41110492476747;6,36108668858547;6,1336631330261;6,59110146802029;5,68523691843424
"TC1100003988.mm.2";3,37177456237207;4,85822095391532;4,81672571522033;4,86912304437936;4,41328431303753;4,45627954946776;4,90219760781148;4,24025073516646;4,40026355874473;4,16352401426742;4,59687163695423
"TC1300001546.mm.2";2,74753623851636;2,19543398822068;2,48466023648079;2,11175345536846;2,20844998393367;2,24026337728774;2,68467524036972;1,78204598079173;1,90719905225589;2,91448739526196;3,03997859851052
"TC0700003639.mm.2";2,41033356957147;1,74837581748795;1,95775893506158;1,83770192137696;2,27101347558876;1,7812550796442;3,63554796841525;2,02338797798534;2,23730436424211;2,14100587023765;1,87371500616211
"TC0400002217.mm.2";2,11400485410789;2,06690063767281;2,14345378398409;1,85076776212316;2,57084676169575;2,97927368169545;3,02206809516479;2,76560308718471;2,49153802474105;1,66572558506962;2,4752443364325
"TC0900002193.mm.2";2,20498937084266;2,66041224730347;2,62913413838259;2,33976375057085;2,62508527110622;2,22647886720326;2,29552642816054;2,09580881807285;2,68903807705296;2,31592483600986;2,11827148974085
"TC0800003243.mm.2";2,08491264178506;1,62948073553582;1,62974937294875;1,30803139345162;1,77078996696456;2,16402126425101;1,39507114713152;1,88964521074571;1,68957782267775;2,05399948649173;1,55574173518695
"TC1100002730.mm.2";2,48398656434764;2,70035698756164;2,89440009853606;2,30877026052667;2,47175192759255;2,54046852825452;2,44778300322172;2,84287961565943;2,78139001089992;1,98172888326944;2,2512526169874
"TC0400000130.mm.2";2,56143727286038;3,15957047590403;3,36827990366694;2,92191576969378;1,98524991580852;2,31326857066342;2,60517529015531;2,2619142459976;2,33537269565932;2,93427612687287;2,50050599010077
"TC1300000814.mm.2";4,74461804351835;3,99272778967243;4,59014912712666;3,72042386004983;4,10332250729942;4,38508183444411;4,44058276063737;4,31700038124109;4,13515391438493;5,27990909669618;4,15537320687342
"TC1900000637.mm.2";2,88913520309839;2,88413487572184;2,46504535018282;2,39031042115077;2,04052810525736;2,29724626335736;2,78089341202854;1,9735859940654;1,83932542596313;2,39301506620005;2,56332553702129
"TC1300000791.mm.2";2,99770972007524;3,03028066193782;2,9215828012613;3,13761536564997;3,06725092464647;3,28616495546058;5,1760966739749;4,02960413382575;3,34273312906154;2,89623493572607;3,67024724096757
"TC0200001550.mm.2";3,12561493206921;2,5497549385476;3,67092068274513;2,42514405171144;2,28553390024755;3,08165217975794;3,17936793892989;2,21463988717045;2,15823851762165;2,76278930213341;2,30942190351733
"TC1700002673.mm.2";4,56627696977668;3,90559045120527;4,15491926303395;4,87714526801171;4,41559927482491;4,68509538013108;3,75321716700227;4,04664124244171;4,32689438134503;3,48502538872841;4,24885143766751
"TC0600000856.mm.2";1,77125846908717;2,63239363924284;1,81401298098135;2,8285514727805;2,87468862194993;1,73696252355437;2,32809251550161;1,92781615262958;2,23418668007743;2,10401464115868;1,9710434333709
"TC1000002164.mm.2";5,30183546825025;5,39667142667215;5,08406288315377;5,25970710366235;5,59590131083336;5,4702691981907;4,91757712559005;4,94552190316632;5,01463553242171;5,73982397347236;5,31318405779205
"TC0900001452.mm.2";4,8753667196161;4,34783255512579;4,49715504766071;4,08271676673448;4,09911091581721;4,66468160950069;3,39780742509945;4,40724015475418;4,81881847759549;4,61187064015779;4,46501005971326
"TC1400002848.mm.2";3,68796251961298;3,46763775250269;3,35655263694918;3,04006839832934;2,6767254114789;3,47305249419717;3,10994733978025;2,994996110524;2,91384257196925;2,55188049678809;3,00481865714241
