"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"R-MMU-109582"	"Hemostasis"	0.00010958904109589	0.00558575918151997	-2.05046680155829	-0.469573405094124	486	"Brpf3, Gnat3, Kif13b, Rab5a, Daglb, Itih4, Dgke, Sdc4, Prkg1, Src, Kif1b, P2rx7, Gna12, Ehd2, Lamp2, Flna, Atp1b3, Cyb5r1, Itga4, Pik3ca, Tuba8, Plg, Abcc4, Cxadr, Tmsb4x, Prkca, Jam2, Grb2, P2rx1, Gngt2, Cd48, Nfe2, Grb14, Vav3, Lyn, Atp1b2, Inpp5d, Pros1, Gng2, Tubb1, Slc7a10, Slc7a7, Abhd6, Itgax, Cd109, Actn4, P2rx6, Spp2, Zfpm1, Sele, Hmg20b, Ehd3, Cd177, Capzb, Tek, Ppp2r5a, Ptgir, Mmrn1, Cd9, Kif5a, Spn, Psg18, Itpr2, Itga5, Sdc1, Qsox1, Clu, Ctsw, Stxbp3, Pde1a, Tgfb1, Rap1b, Serpinb6a, Dock10, P2rx2, Fyn, Slc8a1, Psap, Pdgfa, Rad51b, App, Fcer1g, Prkcb, Syk, Prcp, Prkcd, Pik3r6, Sirpa, Jchain, Pla2g4a, F2rl3, Psg22, Sdc3, Serpind1, Selenop, Fn1, Gna15, Dock2, Hgf, Plek, Dok2, Rasgrp2, Orm1, Dock8, Tagln2, S100a10, Cfd, Slc7a8, Lat, Procr, Timp3, Col1a1, Olr1, Pdgfb, Timp1, Dgka, Serpinb8, Dock4, Serpine2, Sell, Rasgrp1, Itgb2, Jaml, Vav1, Vegfd, Serpinb2, Rab27b, P2rx5, Pik3cg, Ppbp, Nos1, F13a1, Col1a2, Atp1b1, Fermt3, Fgr, Slc7a11, Lhfpl2, Srgn, Selp, Gas6, Cd36, Plaur, Igf1, Islr, Thbd, F10, Actn2, F7, Pf4, Cd84, P2rx3, Sh2b2, Nos2, Atp2a1"
"R-MMU-6798695"	"Neutrophil degranulation"	0.00010972130787799	0.00558575918151997	-2.42499942156128	-0.555740979377782	479	"Mmp9, Cst3, Gm2a, Ptprj, Plekho2, AY761184, Ctsa, Lamp2, Mvp, Snap23, Rab31, Arsb, Defa25, Tmbim1, Calm4, Dok3, Atp6ap2, Gns, B4galt1, Fabp5, 1600012H06Rik, Nfkb1, Cstb, Gm7030, Ctsb, P2rx1, Cab39, Manba, Rab9b, Asah1, Gpr84, H2-M9, Abca13, Rhof, Mmp25, Arhgap9, Itgax, Cd59b, Diaph1, Pnp, Gm8909, Cd177, Fuca2, Dgat1, Mgst1, H2-Q10, Ostf1, Naprt, Psg18, Defa28, Tmem63a, Rab37, Gsdmd, Tnfaip6, Qsox1, Krt1, Pnp2, Serpinb3a, H2-M10.2, Rap1b, Alox5, Rnase2b, Serpinb6a, Fcna, Agpat2, Npc2, H2-Q2, Slc2a3, Psap, Qpct, Prg2, Cd68, Cxcl3, Fcer1g, Gsn, Prcp, Prkcd, Jup, Sirpa, Padi2, Mospd2, Lair1, Tbc1d10c, Psg22, Iqgap2, Ptprc, Cd93, Ptprb, Tcirg1, Crispld2, Trpm2, Dock2, Mmp8, Gm15448, Cyba, Ampd3, Fgl2, Orm1, Pygl, Cd53, Atp8b4, H2-Q4, Cfd, Ctsg, Nfam1, Ticam2, Aldh3b1, C3ar1, Glipr1, Hk3, Olr1, Fcgr2b, Tyrobp, Clec12a, Fpr1, Ctsc, Ctsh, Nckap1l, Lilra6, Sell, Dnase1l1, Itgb2, Creg1, Cfp, Plac8, Ppbp, Tlr2, Retn, Slc11a1, Fgr, Clec5a, Tnfrsf1b, Flg2, Gmfg, Cd55, Lilrb4a, Cybb, Cd36, Ctss, C5ar1, Plaur, Folr2, Lilr4b, Arg1, Anpep, Mcemp1, Tarm1, Ptafr, S100a9, Hp, Adam8, Cd14, Bst1, Lyz2, S100a8, C3, Cxcl2, Lcn2, H2-M2, Clec4n, Clec4d"
"R-MMU-9006934"	"Signaling by Receptor Tyrosine Kinases"	0.000113623451880468	0.00558575918151997	-1.69636230570672	-0.39567300042558	378	"Erbb2, Stat5b, Galnt3, Fgf5, Sh3kbp1, Matk, Cbl, Gab1, Fgf23, Egf, Col5a3, Cyfip2, Polr2g, Mapkapk3, Rps6ka1, Src, Ereg, Mmp9, Ptprj, Pdgfrb, Fes, Frs2, Ptpn18, Them4, Rnf41, Atp6ap1, Pik3ca, Plg, Hspb1, Kitl, Braf, Prkca, Lamb3, Polr2c, Grb2, Fgf1, Vav3, Col4a1, Furin, Lyn, Pxn, Atp6v1e2, Diaph1, Fgfr1, Irs4, Atp6v1b2, Col6a2, Tns4, Lamb1, Fgf17, Esrp1, Rap1b, Axl, Trib3, Fgf7, Fyn, Mapk12, Tec, Pdgfa, Pdgfc, Nrp2, Prkcb, Prkcd, Jup, Flt1, Grb10, Col2a1, Col5a1, Fgfbp3, Fn1, Tcirg1, Pde3b, Hgf, Col6a1, Cyba, Ncf2, Areg, Col27a1, Pcsk5, Spint2, Shc2, Col1a1, Lrig1, Pdgfb, Nrg4, Col5a2, Pcsk6, Nckap1l, Spp1, Thbs3, Vav1, Vegfd, Cma1, Esrp2, Col4a4, Col1a2, Ncf1, Egfr, Thbs2, Ncf4, Lama2, Cybb, Flrt2, Ntrk2, Igf1, Sphk1, Pag1, Col3a1, Sh2b2, Atp6v0d2"
"R-MMU-418594"	"G alpha (i) signalling events"	0.000115247205255273	0.00558575918151997	-1.70111108582456	-0.400582223198366	332	"Prkca, Tas2r121, Cxcl5, Tas2r144, Ccl1, Adcy5, Sstr3, Gngt2, Tas2r118, Npy1r, Cxcl11, Gng2, Adcy9, Pde4c, P2ry4, Tas2r138, Rdh10, Stra6, Lrp12, Tas2r130, Rgs18, Insl5, Tas2r137, Hrh3, Cxcl9, Rgs14, Anxa1, Sdc1, Gucy2e, Pde1a, Cnr1, Gpc4, Cxcr4, Ccr9, Gpc6, Rgs9bp, Psap, P2ry13, Gpr183, App, Cxcl3, Rbp2, Rbp1, Rgs16, Prkcd, Ccl19, Pla2g4a, Sdc3, Sucnr1, Rgs10, Grm2, Lrp1, Camkk1, Hc, Ccr5, Penk, Akr1c13, S1pr3, C3ar1, Fpr1, Gpc3, Cnr2, Hcar2, S1pr4, Ccl5, Hebp1, Ppbp, Dhrs3, Cxcl16, Rgs1, Lpar1, C5ar1, Cxcl12, Gper1, Ccr1, Akr1c18, Ccl6, Pf4, Ccl9, C3, Cxcl2, Cxcl13"
"R-MMU-1280215"	"Cytokine Signaling in Immune system"	0.000116849731245618	0.00558575918151997	-1.91945324864522	-0.455472923111546	302	"Relb, Ltb, Pik3ca, Csf3, Ifna11, Nfkb1, Sqstm1, Il10ra, Tnip2, Il12rb1, Grb2, Tnfrsf11b, Lyn, Inpp5d, Camk2b, Tnfrsf13b, Edar, Il16, Ifna1, Map2k3, Il31ra, Ghr, Ifnlr1, Myd88, Il20rb, Il13ra1, Sdc1, Cd70, Il27ra, Nfkb2, Il27, Il12rb2, Fyn, Irak2, Camk2a, Tec, App, Crlf2, Il6ra, Ifng, Syk, Nfkbia, Prkcd, Clcf1, Rnasel, Csf3r, Map3k3, Hck, Ager, Osm, Il4ra, Il11, Osmr, Ctsg, Tnfrsf12a, Lifr, Cd40, Pik3cd, Birc3, Tnfsf4, Ifngr1, Stat4, Il23a, Tnf, Il1r1, Lif, Tnfrsf13c, Vav1, Il21r, Csf2ra, Irak3, Il6, Il1b, Il33, Tnfsf15, Tnfrsf1b, Il1r2, Csf1r, Il1rl2, Il1rn, Il7r, Il1rl1, Il1a"
"R-MMU-1474244"	"Extracellular matrix organization"	0.000119090151244492	0.00558575918151997	-2.21092731884855	-0.531209484751137	258	"Capn15, Plg, Cd151, Klk1b16, Prkca, Lamb3, Jam2, Ctsb, Comp, Col4a1, Cast, Furin, Capn5, Mmp25, Itgax, Col6a2, Col8a2, Lamb1, Psg18, Klk1b3, Mmp14, Madcam1, Tnr, Itga5, Sdc1, Col10a1, Pcolce, Tgfb1, Loxl4, Adamts2, Klk1b27, Capn3, Pdgfa, App, Ctsk, Itgb7, Bmp1, Itga8, Col2a1, Col5a1, Col18a1, Psg22, Nid1, Sdc3, Itgb5, Itgb4, Fn1, Col14a1, Mfap4, Col6a1, Mmp8, Col27a1, Adamts5, Ctsg, Klk1b11, Bgn, Plec, Col1a1, P3h2, Mmp13, Icam1, Pdgfb, Timp1, Col5a2, Ctsl, Emilin2, Itgb2, Spp1, Col17a1, Lum, Ltbp2, Htra1, Cma1, Fbn1, Col4a4, Tnc, Mfap5, Col1a2, Pcolce2, Lox, Loxl1, Lama2, Ctss, Fbln2, Col3a1, Mmp3, Adam8, Mmp19, Mmp2, Mmp12, Dcn"
"R-MMU-76002"	"Platelet activation, signaling and aggregation"	0.000121300339640951	0.00558575918151997	-2.00573876016681	-0.486890075392413	233	"Habp4, Egf, Gnai3, Cdc37l1, Dgkh, Brpf3, Gnat3, Daglb, Itih4, Dgke, Src, Gna12, Lamp2, Flna, Cyb5r1, Pik3ca, Plg, Abcc4, Tmsb4x, Prkca, Grb2, Gngt2, Vav3, Lyn, Pros1, Gng2, Abhd6, Cd109, Actn4, Spp2, Mmrn1, Cd9, Itpr2, Qsox1, Clu, Ctsw, Stxbp3, Tgfb1, Rap1b, Fyn, Psap, Pdgfa, App, Fcer1g, Prkcb, Syk, Prkcd, Pik3r6, Pla2g4a, F2rl3, Selenop, Fn1, Gna15, Hgf, Plek, Rasgrp2, Orm1, Tagln2, Cfd, Lat, Timp3, Col1a1, Pdgfb, Timp1, Dgka, Rasgrp1, Vav1, Vegfd, Rab27b, Pik3cg, Ppbp, F13a1, Col1a2, Fermt3, Lhfpl2, Srgn, Selp, Gas6, Cd36, Igf1, Islr, Actn2, Pf4"
"R-MMU-449147"	"Signaling by Interleukins"	0.000124054087582186	0.00558575918151997	-1.99054197971831	-0.489848639072157	207	"Sqstm1, Il10ra, Tnip2, Il12rb1, Grb2, Lyn, Inpp5d, Il16, Map2k3, Il31ra, Ifnlr1, Myd88, Il20rb, Il13ra1, Sdc1, Il27ra, Nfkb2, Il27, Il12rb2, Fyn, Irak2, Tec, App, Crlf2, Il6ra, Syk, Nfkbia, Clcf1, Csf3r, Map3k3, Hck, Ager, Osm, Il4ra, Il11, Osmr, Ctsg, Lifr, Pik3cd, Stat4, Il23a, Il1r1, Lif, Vav1, Il21r, Csf2ra, Irak3, Il6, Il1b, Il33, Il1r2, Csf1r, Il1rl2, Il1rn, Il7r, Il1rl1, Il1a"
"R-MMU-397014"	"Muscle contraction"	0.000127258844489692	0.00558575918151997	-2.46078372415715	-0.61755268805859	173	"Tnnt2, Cav3, Itpr2, Tnni3, Kcnj2, Npr2, Kcnj11, Kcnk6, Slc8a1, Camk2a, Tmod1, Scn4b, Scn9a, Itgb5, Scn1b, Scn3b, Kcnk13, Cacnb2, Fxyd6, Kcnj12, Scn7a, Fgf13, Cacng1, Cacnb1, Nos1, Tmod4, Atp1b1, Atp1a2, Ryr1, Atp1a3, Mybpc2, Fkbp1b, Trim72, Fxyd2, Cacna1d, Actn2, Tcap, Mybpc1, Des, Myh8, Actn3, Tpm2, Casq1, Mylpf, Trdn, Neb, Acta1, Myl1, Atp2a1, Tnnt3, Tnnc2, Tnni2"
"R-MMU-168898"	"Toll-like Receptor Cascades"	0.00013238019592269	0.00558575918151997	-1.96403972859572	-0.511195408422248	130	"Tnip2, Ctsb, Ripk3, Sarm1, Map2k3, Ly86, Myd88, Nfkb2, Irf7, Irak2, App, Ctsk, Nfkbia, Ager, Tlr1, Lgmn, Tlr6, Ticam2, Tlr7, Birc3, Cd180, Ctsl, Itgb2, Unc93b1, Tlr2, Cd36, Ctss, S100a9, Cd14, Lbp, S100a8"
