"ID"	"Description"	"pvalue"	"p.adjust"	"NES"	"enrichmentScore"	"setSize"	"core_enrichment"
"R-MMU-2555396"	"Mitotic Metaphase and Anaphase"	0.000192233756247597	0.00693060852735242	-2.18205311372837	-0.484943727565439	144	"Pds5b, Taok1, Nup37, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Vrk1, Tuba1c, Anapc7, Anapc4, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Cdca5, Wapl, Anapc1, Bub3, Ppp2r1b, Ppp2r2a, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Lmnb1, Ankle2, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Tubb4a, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-68882"	"Mitotic Anaphase"	0.000192418703097941	0.00693060852735242	-2.1877842689266	-0.486741201951495	143	"Pds5b, Taok1, Nup37, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Vrk1, Tuba1c, Anapc7, Anapc4, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Cdca5, Wapl, Anapc1, Bub3, Ppp2r1b, Ppp2r2a, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Lmnb1, Ankle2, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Tubb4a, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-2467813"	"Separation of Sister Chromatids"	0.000192529842125529	0.00693060852735242	-2.20701938579154	-0.496544945979064	133	"Pds5b, Taok1, Nup37, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Tuba1c, Anapc7, Anapc4, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Cdca5, Wapl, Anapc1, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Smc1a, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Tubb4a, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-68877"	"Mitotic Prometaphase"	0.00019293845263361	0.00693060852735242	-2.25573961595308	-0.485905943574136	180	"Cep72, Cep192, Nde1, Pds5b, Csnk1d, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Tubb5, Cep63, Tuba1c, Smc2, Haus4, Prkar2b, Sgo1, Ppp1cc, Cntrl, Cenpp, Alms1, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Pcnt, Dync1li1, Sec13, Cep290, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Cdk1, Incenp, Cdca5, Wapl, Bub3, Ppp2r1b, Cep78, Spc25, Bub1, Ncaph, Itgb3bp, Smc1a, Plk4, Ppp2r5c, Csnk1e, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubgcp6, Tubb4b, Cdca8, Cep57, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Ccnb2, Xpo1, Ndc80, Haus1, Ncapg, Birc5, Zw10, Ccnb1, Cenpo, Zwilch, Cep135, Nup107, Tubb4a, Haus6, Haus2, Mad2l1, Nedd1, Ofd1, Cdc20, Cenpu, Ccp110, Nek2, Ercc6l, Tuba8, Nuf2, Tubgcp5, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-141424"	"Amplification of signal from the kinetochores"	0.000193087468623286	0.00693060852735242	-2.31392314815645	-0.555057263102954	88	"Nde1, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Mapre1, Cdca8, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Zwilch, Nup107, Mad2l1, Cdc20, Cenpu, Ercc6l, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-141444"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.000193087468623286	0.00693060852735242	-2.31392314815645	-0.555057263102954	88	"Nde1, Taok1, Nup37, Cenpe, Bub1b, Ndel1, Ppp2r1a, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Mapre1, Cdca8, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Zwilch, Nup107, Mad2l1, Cdc20, Cenpu, Ercc6l, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-5663220"	"RHO GTPases Activate Formins"	0.0001933114247052	0.00693060852735242	-2.1129776612944	-0.479296981599398	127	"Cenpq, Nde1, Taok1, Nup37, Daam1, Cenpe, Bub1b, Ndel1, Ppp2r1a, Rhoa, Tuba1c, Sgo1, Ppp1cc, Cenpp, Cenpk, Pfn2, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Sec13, Aurkb, Nup85, Diaph3, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Tubb6, Tubb2b, Mapre1, Tubb4b, Cdca8, Tuba3b, Tuba4a, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Zwilch, Nup107, Tubb4a, Scai, Mad2l1, Cdc20, Cenpu, Ercc6l, Tuba8, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
"R-MMU-6809371"	"Formation of the cornified envelope"	0.000193911188675587	0.00693060852735242	-2.77289065448068	-0.644440510340466	109	"Klk13, Dsc1, Stfa3, Krt20, Krt80, Lce1a1, Krt34, Krt23, Jup, Lce1b, Ppl, Lce1i, Perp, Krt16, Dsc3, Krt2, Spink5, Krt79, Krt86, Lce1m, Lce1e, Krt15, Cdsn, Sprr2a3, Dsg1a, Pkp1, Lce1g, Krt14, Dsp, Flg2, Krt5, Krt1, Krt77, Krt10"
"R-MMU-72163"	"mRNA Splicing - Major Pathway"	0.0001941370607649	0.00693060852735242	-1.86831966539942	-0.408258414388982	164	"Wbp4, Tra2b, Cpsf1, Nudt21, Hnrnpul1, Hnrnpa2b1, Prcc, Hnrnpd, Ppwd1, Polr2f, Txnl4a, Snrpf, Lsm5, Fip1l1, Dhx38, Clp1, Dhx9, U2surp, Sart1, Cwc22, Gpkow, Ccar1, Prpf40a, Polr2g, Wdr33, U2af1, Upf3b, Prpf8, Usp39, Srsf10, Rbmxl1, Eftud2, Prpf31, Wbp11, Rbm22, Gcfc2, Prpf19, Hnrnpr, Gtf2f1, Alyref, Prpf6, Hnrnpk, Srsf3, Snrnp40, Ncbp1, Snrpa1, Phf5a, Snrpd3, Fus, Gtf2f2, Ddx42, Sf3b3, Hnrnpf, Hnrnph1, Slu7, Srsf2, Srsf1, Snw1, Ppil4, Tfip11, Sf3a3, Polr2h, Pcf11, Plrg1, Polr2d, Casc3, Ddx46, Cstf1, Papola, Rbmx, Polr2c, Pqbp1, Ctnnbl1, Polr2b, Cwc25, Magoh, Cdc40"
"R-MMU-69618"	"Mitotic Spindle Checkpoint"	0.000194174757281553	0.00693060852735242	-2.26790830209705	-0.530638715274372	104	"Nde1, Taok1, Nup37, Anapc16, Cenpe, Bub1b, Ndel1, Ppp2r1a, Anapc7, Anapc4, Sgo1, Ppp1cc, Cenpp, Cenpk, Ppp2cb, Ska1, Clasp1, Nup160, Mis12, Dync1li1, Anapc5, Sec13, Aurkb, Cdc27, Nup85, Spdl1, Rcc2, Sgo2a, Seh1l, Incenp, Anapc1, Bub3, Ppp2r1b, Spc25, Bub1, Itgb3bp, Ppp2r5c, Ranbp2, Ska2, Mapre1, Cdca8, Ppp2r5a, Cenpa, Xpo1, Ndc80, Birc5, Zw10, Cenpo, Cdc16, Zwilch, Cdc26, Nup107, Mad2l1, Cdc20, Cenpu, Ercc6l, Nuf2, Nup43, Cenpc1, Kif18a, Cenpn, Cenpf"
